=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,0
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,4,16
1,3,1,3,16
1,4,1,0,16
2,3,0,2,16
2,4,0,1,16
3,4,0,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),2
Similar (70-85%),12

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q1,What does the modulo operator (%) return when applied to two integers?,4,1,0.942,duplicate
q4,"To extract the tens digit of a number x, which expression is correct?",1,4,q4,"Given a non-negative integer x, which expression yields the tens digit of x? Ex: If x=693, result should be 9.",3,4,0.86,duplicate
q2,Which operator rounds down the division result to the nearest smaller whole number?,1,2,q1,Which operator returns the remainder of integer division?,2,1,0.829,similar
q3,What causes a division by zero error in an expression like 100 / 0?,1,3,q3,What happens if a division by zero occurs in an expression like 10 / 0?,2,3,0.786,similar
q4,"To extract the tens digit of a number x, which expression is correct?",1,4,q4,How can the tens digit of a number x be obtained using modulo and floor division?,2,4,0.786,similar
q4,How can the tens digit of a number x be obtained using modulo and floor division?,2,4,q4,"Given a non-negative integer x, which expression yields the tens digit of x? Ex: If x=693, result should be 9.",3,4,0.768,similar
q1,What does the floor division operator // return when both operands are integers?,3,1,q3,How does floor division (//) differ from regular division (/) in Python?,4,3,0.759,similar
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q1,What does the floor division operator // return when both operands are integers?,3,1,0.755,similar
q1,What does the floor division operator // return when both operands are integers?,3,1,q1,What does the modulo operator (%) return when applied to two integers?,4,1,0.747,similar
q2,Which operator rounds down the division result to the nearest smaller whole number?,1,2,q1,What does the floor division operator // return when both operands are integers?,3,1,0.746,similar
q3,What causes a division by zero error in an expression like 100 / 0?,1,3,q3,Why is division by zero using / or // not allowed in Python?,3,3,0.741,similar
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q1,Which operator returns the remainder of integer division?,2,1,0.74,similar
q1,Which operator returns the remainder of integer division?,2,1,q1,What does the modulo operator (%) return when applied to two integers?,4,1,0.739,similar
q1,Which operator returns the remainder of integer division?,2,1,q1,What does the floor division operator // return when both operands are integers?,3,1,0.727,similar
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q2,Which operator rounds down the division result to the nearest smaller whole number?,1,2,0.694,low
q3,What happens if a division by zero occurs in an expression like 10 / 0?,2,3,q3,Why is division by zero using / or // not allowed in Python?,3,3,0.679,low
q2,Which operator rounds down the division result to the nearest smaller whole number?,1,2,q1,What does the modulo operator (%) return when applied to two integers?,4,1,0.672,low
q4,"To extract the tens digit of a number x, which expression is correct?",1,4,q4,You want a random number from 5 to 10 using modulo on x. Which expression is correct?,4,4,0.655,low
q4,"Given a non-negative integer x, which expression yields the tens digit of x? Ex: If x=693, result should be 9.",3,4,q4,You want a random number from 5 to 10 using modulo on x. Which expression is correct?,4,4,0.638,low
q2,Which operator rounds down the division result to the nearest smaller whole number?,1,2,q3,How does floor division (//) differ from regular division (/) in Python?,4,3,0.634,low
q2,What is the result type of the division operator (/) in Python when dividing two integers?,4,2,q3,How does floor division (//) differ from regular division (/) in Python?,4,3,0.634,low
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q2,What is the result type of the division operator (/) in Python when dividing two integers?,4,2,0.626,low
q4,How can the tens digit of a number x be obtained using modulo and floor division?,2,4,q4,You want a random number from 5 to 10 using modulo on x. Which expression is correct?,4,4,0.624,low
q1,What does the modulo operator (%) return when applied to two integers?,4,1,q2,What is the result type of the division operator (/) in Python when dividing two integers?,4,2,0.621,low
q1,What does the modulo operator (%) return when dividing two integers?,1,1,q3,How does floor division (//) differ from regular division (/) in Python?,4,3,0.614,low
