text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the purpose of the Math class in programming languages like Java?,To offer methods for advanced math operations,To provide a way to store mathematical constants,To define basic arithmetic operators,To offer methods for advanced math operations,To create graphical math plots,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How is a method call to the Math.sqrt() method correctly written in Java?,Math.sqrt(25.0);,sqrt.Math(25.0);,Math.sqrt(25.0);,sqrt(25.0);,Math.sqrt;,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which Math method call correctly computes \(2^8\) in Java?,"Math.pow(2.0, 8.0);","Math.pow(8, 2);","Math.pow(2.0, 8.0);","Math.sqrt(2, 8);","Math.abs(2, 8);",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"What does this Java code compute? finalMass = initMass * Math.pow(1.0 + growthRate, yearsGrow);",The final mass after growth over yearsGrow years,The initial mass after subtracting the growth rate,The final mass after growth over yearsGrow years,The square root of initial mass times growth rate,The absolute difference between initMass and growthRate,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why must the Math class methods be called with Math. prefix in Java?,To call static methods in the Math class,To access non-static methods,To import the Math class explicitly,To call static methods in the Math class,To declare variables for calculations,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What does Math.pow(3.0, 2.0) compute?",3.0 raised to the power of 2.0,The square root of 3.0,2.0 raised to the power of 3.0,The product of 3.0 and 2.0,3.0 raised to the power of 2.0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the expression Math.pow(2.0, Math.pow(3.0, 2.0)), which part is evaluated first?","Math.pow(3.0, 2.0)","Math.pow(2.0, 9.0)","Math.pow(3.0, 2.0)","Math.pow(2.0, 3.0)",The entire expression is evaluated simultaneously,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"In the formula \(Distance = \sqrt{(x2 - x1)^2 + (y2 - y1)^2}\), which Math method calculates the square root?",Math.sqrt(),Math.pow(),Math.sqrt(),Math.abs(),Math.log(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What must precede a math method name to call it in Java?,Math.,new,Math.,import,call,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Math.sqrt(_____) calculates the square root of the argument.,all of the above,a variable name,an expression,a number,all of the above,,,,,,,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass
Which method call computes \(x^y\) in Java?,"Math.pow(x, y)","Math.sqrt(x, y)","Math.pow(x, y)","Math.abs(x, y)","Math.log(x, y)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"In Math.pow(2.0, Math.pow(x, y) + 1), what is the first operation performed?",Compute \(x^y\) inside the argument,Add 1 to x,Compute 2.0 to the power of x,Compute \(x^y\) inside the argument,Compute \(2^{(x+y)}\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why must the method name be preceded by Math. to call sqrt() in Java?,To access the static method in the Math class,To import the Math class,To create a new Math object,To access the static method in the Math class,To define a new method called sqrt,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A method call with arguments is written as methodName(_____).,parentheses (),curly braces {},square brackets [],parentheses (),angle brackets <>,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which Math method takes two arguments and calculates \(x^y\)?,"Math.pow(x, y)","Math.sqrt(x, y)","Math.pow(x, y)","Math.abs(x, y)","Math.log(x, y)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"In Math.pow(1.05, years), what does 1.05 represent in a growth calculation?",Growth rate plus 1,Initial mass,Growth rate plus 1,Years of growth,Final mass after growth,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
