text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the shape attribute of a NumPy array represent?,A tuple of sizes at each dimension level,The data type of the array elements,The number of dimensions in the array,A tuple of sizes at each dimension level,The memory size of the array in bytes,,,,,,
Which function inserts values into a NumPy array at a specified axis?,insert(),delete(),insert(),full(),sort(),,,,,,
How does the reshape() function affect a NumPy array?,Changes array dimensions retaining the same data,Changes the data type of array elements,Changes array dimensions retaining the same data,Removes elements from the array,Sorts the array elements,,,,,,
What does the ravel() function do to an array?,Flattens the array to one dimension,Transposes the array dimensions,Flattens the array to one dimension,Inserts new elements into the array,Deletes elements from the array,,,,,,
Which NumPy function returns the dot product of two arrays interpreted as matrices?,dot(),cross(),dot(),sqrt(),median(),,,,,,
What does the shape attribute of a NumPy array represent?,The size of each dimension as a tuple,The data type of the array elements,The number of dimensions of the array,The size of each dimension as a tuple,The total number of elements in the array,,,,,,
Which NumPy function inserts values into an existing array along a specified axis?,insert(),delete(),insert(),full(),zeros(),,,,,,
What is the result of calling ravel() on a two-dimensional NumPy array?,A flattened one-dimensional array,A reshaped array with more rows,A flattened one-dimensional array,A transposed two-dimensional array,An array filled with zeros,,,,,,
How does the axis parameter affect the sort() function in NumPy?,It determines the dimension along which sorting occurs,It specifies the data type to sort,It selects which elements to delete,It determines the dimension along which sorting occurs,It chooses the fill value for missing elements,,,,,,
Which statement correctly describes an aggregate function like var() in NumPy?,It returns one value for the entire array or along an axis,It returns one value for the entire array or along an axis,It applies a mathematical operation element-wise on the array,It reshapes the array while keeping all data intact,It inserts new elements into the array at a given position,,,,,,
What is the shape of a two-dimensional array with 3 rows and 5 columns?,"(3, 5)","(5, 3)","(3, 5)","(15,)","(8,)",,,,,,
Which NumPy function inserts elements into an array before a specified index?,insert(),delete(),insert(),full(),sort(),,,,,,
What does the NumPy function reshape() do to an array?,Changes the array's shape without changing data,Deletes elements at specified indices,Changes the array's shape without changing data,Fills the array with zeros,Sorts elements along an axis,,,,,,
Flattening a NumPy array changes it to a _____ array.,one-dimensional,two-dimensional,scalar,one-dimensional,three-dimensional,,,,,,
Which type of NumPy function returns a single value summarizing the entire array or slice?,Aggregate function,Simple function,Aggregate function,Matrix function,Arithmetic operator,,,,,,
What does the shape attribute of a NumPy array represent?,The tuple of sizes at each dimension,The data type of array elements,The number of elements in the array,The tuple of sizes at each dimension,The memory size of the array,,,,,,
Which function creates a NumPy array filled with a specified value and shape?,full(),zeros(),full(),insert(),delete(),,,,,,
What does the axis parameter specify in NumPy functions?,The dimension along which to operate,The number of elements to process,The dimension along which to operate,The data type of the returned array,The sorting order of the array,,,,,,
How does the reshape() function affect a NumPy array?,Changes shape but keeps the same data,Changes data and shape of the array,Changes shape but keeps the same data,Deletes elements from the array,Flattens the array to one dimension,,,,,,
Which operator applies element-wise to two NumPy arrays?,*,+,//,**,*,,,,,,
