text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
Why is data anonymization used in data science?,To protect individual privacy,To increase dataset size,To improve data accuracy,To protect individual privacy,To speed up data processing,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Algorithmic bias occurs when a model _____.,unfairly favors one group over another,has low accuracy,unfairly favors one group over another,uses outdated data,requires too much computation,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,location,voter registration,location,social security numbers,party affiliation,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass
What major environmental impact is caused by data centers?,Large electricity use,Increase in air pollution,High water consumption,Large electricity use,Deforestation near urban areas,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main purpose of data anonymization in datasets?,To protect individual privacy by removing identifying information,To improve data analysis accuracy,To protect individual privacy by removing identifying information,To increase dataset size and complexity,To comply with financial regulations,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which factor most commonly causes algorithmic bias in data science models?,Underrepresentation or bias in the original dataset,Overfitting the training data,Underrepresentation or bias in the original dataset,Using too many features in the model,High computational resource limits,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why is ethical conduct critical when handling electronic health records (EHRs)?,EHRs contain sensitive information that can be misused,EHRs only contain non-sensitive data,EHRs are publicly available for research,EHRs contain sensitive information that can be misused,EHRs are easy to anonymize automatically,,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is a major environmental concern related to data centers?,They consume a large amount of energy for operation and cooling,They cause water pollution,They consume a large amount of energy for operation and cooling,They emit greenhouse gases directly,They produce excessive physical waste,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data anonymization protects privacy by _____ in datasets.,replacing names with ID numbers,removing all numerical data,deleting whole records,replacing names with ID numbers,publishing data publicly,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Algorithmic bias occurs when models produce _____ outcomes.,unfair,faster,unfair,random,identical,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Cambridge Analytica targeted political ads by combining psychological profiles with _____ data.,location,weather,location,food preferences,employment history,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data centers require large energy amounts mainly for servers and _____.,cooling systems,lighting,cooling systems,office equipment,transport vehicles,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the main reason data anonymization is used in data science?,To protect individual privacy,To improve data accuracy,To reduce dataset size,To protect individual privacy,To increase data processing speed,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Algorithmic bias occurs when a model _____.,favors one group unfairly,produces slower results,favors one group unfairly,uses outdated data,has low accuracy overall,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Cambridge Analytica used psychological profiles combined with _____ to target political ads.,location data,income data,location data,education data,employment data,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What percentage of global energy is approximately used by data centers?,1%,10%,5%,1%,25%,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
