text,answer,a,b,c,d,e,f,g,h,hint,feedback
Why are tuples used instead of lists in Python?,They provide immutable sequences for fixed data.,They allow adding and removing elements easily.,They are unordered collections of elements.,They provide immutable sequences for fixed data.,They allow duplicate elements to be stored.,,,,,,
Which container type in Python is unordered and unindexed?,Set,List,Tuple,Set,Dictionary,,,,,,
How does a dictionary access its elements?,By unique keys of any immutable type.,By integer indices starting at 0.,By unique keys of any immutable type.,By position using negative indexing.,By order of insertion only.,,,,,,
Which container type allows changing individual elements after creation?,List,Tuple,Set,Dictionary,List,,,,,,
A dictionary element is removed using the statement _____.,"del dict[""key""]",dict.pop(0),"del dict[""key""]","dict.remove(""key"")","dict.delete(""key"")",,,,,,
Why is a tuple used instead of a list in Python?,Because tuples are immutable and prevent element modification,Because tuples allow elements to be changed after creation,Because tuples can contain duplicate values,Because tuples are immutable and prevent element modification,Because tuples are unordered collections,,,,,,
"Which container type in Python is ordered, indexed, and mutable?",List,Tuple,Set,List,Dictionary,,,,,,
How does a Python set differ from a list regarding element order and duplicates?,Sets are unordered and disallow duplicates,Sets are ordered and allow duplicates,Sets are unordered and disallow duplicates,Sets are indexed and allow duplicates,Sets maintain insertion order and allow duplicates,,,,,,
"In a Python dictionary, what is used to access a value?",A unique key,An integer index,A unique key,The element's position,A numeric index starting at zero,,,,,,
Fill in the blank: A Python container that is _____ and _____ allows changing elements and maintains order.,"ordered, mutable","unordered, immutable","ordered, mutable","unordered, mutable","ordered, immutable",,,,,,
"Which container type in Python is ordered, indexed, and immutable?",tuple,list,dictionary,tuple,set,,,,,,
Why does a set not support indexing or ordering of elements?,Because it is unordered and unindexed,Because it is mutable,Because elements must be unique,Because it is unordered and unindexed,Because it uses key-value pairs,,,,,,
How can a new key-value pair be added to a Python dictionary?,Using dictionary[key] = value,"Using dictionary.append(key, value)",Using dictionary[key] = value,"Using dictionary.add(key, value)","Using dictionary.insert(key, value)",,,,,,
What happens when two lists are concatenated with the + operator in Python?,A new list with elements of both lists combined,A new list with elements of both lists combined,The second list replaces the first list,An error occurs because lists cannot be added,The first list is duplicated,,,,,,
"A Python list is _____, meaning elements can be changed after creation.",mutable,indexed only,immutable,mutable,unordered,,,,,,
"Which container type is ordered, indexed, and mutable in Python?",list,tuple,set,list,dictionary,,,,,,
A tuple differs from a list because it is _____.,immutable,unordered,mutable,indexed,immutable,,,,,,
Which container type allows elements to be accessed using keys instead of integer indices?,dictionary,list,dictionary,tuple,set,,,,,,
What happens if a duplicate value is added to a set?,The duplicate is removed,The set allows duplicates,A KeyError occurs,The duplicate is removed,The set becomes immutable,,,,,,
Which list method removes and returns an element by its index?,pop(),append(),remove(),pop(),delete(),,,,,,
