text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What function returns the number of characters in a string?,len(),count(),size(),len(),length(),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How does Python access the last character of a string s?,s[-1],s[0],s[-1],s[len(s)],s[last],,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Why is the statement s[2] = ""a"" invalid for a string s?",Strings are immutable and cannot be changed by index,Strings use parentheses not brackets,Strings are immutable and cannot be changed by index,The index 2 is out of range,Only numbers can be assigned to strings,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What is the result of concatenating ""Data"" + ""Science"" in Python?",DataScience,Data Science,DataScience,Data+Science,"[""Data"", ""Science""]",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the index of the first character in a string?,0,-1,1,0,,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why are strings considered immutable in Python?,They cannot be changed after creation,They can be changed by index assignment,They cannot be changed after creation,They can be sorted easily,They support addition with numbers,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which expression concatenates two strings first and last with a space in between?,"first + "" "" + last",first + last,"first + "" "" + last",first * last,first - last,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"What does len(""Python"") return?",6,5,6,7,0,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the len() function return when used on a string variable?,The number of characters in the string,The number of words in the string,The number of characters in the string,The first character of the string,The string converted to lowercase,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which of the following indexing expressions accesses the last character in a string s?,s[-1],s[len(s)],s[-1],s[0],s[length(s)],,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why are strings in Python considered immutable?,Because individual characters cannot be changed after creation,Because they can only contain numbers,Because their length cannot change,Because individual characters cannot be changed after creation,Because they use less memory than lists,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"What happens when two strings, a and b, are concatenated with a + operator?",A new string combining a and b is created,a and b are modified and joined in place,A new string combining a and b is created,An error occurs if a and b have different lengths,The strings are converted to numbers before joining,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
What does the len() function return when called on a string?,The number of characters in the string,The number of spaces in the string,The number of characters in the string,The first character of the string,The last character of the string,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which index refers to the last character in a Python string?,-1,0,1,-1,The length of the string,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Why can’t a character in a string be changed by assigning to an index, like s[2] = ""A""?",Strings are immutable objects,Strings are mutable sequences,Strings are immutable objects,Indexing only works with numbers,Python does not support string variables,,,,,,,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the result of concatenating two strings with the + operator?,A new string combining both strings,A list of both strings,A new string combining both strings,Both strings printed on separate lines,An error if either string is empty,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
