=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,0,9
1,3,3,0,9
1,4,1,0,9
2,3,1,0,9
2,4,2,0,9
3,4,1,0,9

Summary
Total Comparisons,66
Duplicates (≥85%),9
Similar (70-85%),0

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q2,A single-line comment in Java starts with _____.,3,2,q1,What does a single-line comment start with in Java?,4,1,0.932,duplicate
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q2,A single-line comment in Java starts with _____.,3,2,0.921,duplicate
q3,How does a compiler treat whitespace in source code?,1,3,q3,How does a compiler treat whitespace in code?,3,3,0.908,duplicate
q2,Which symbol correctly starts a single-line comment in Java?,1,2,q2,A single-line comment in Java starts with _____.,3,2,0.893,duplicate
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q1,What does a single-line comment start with in Java?,4,1,0.886,duplicate
q2,Which symbol correctly starts a single-line comment in Java?,1,2,q1,What does a single-line comment start with in Java?,4,1,0.881,duplicate
q1,What is the main purpose of comments in source code?,1,1,q1,What is the purpose of comments in code?,3,1,0.878,duplicate
q3,Which is a good whitespace practice in code formatting?,2,3,q2,Which is a good use of whitespace in code?,4,2,0.863,duplicate
q2,Which symbol correctly starts a single-line comment in Java?,1,2,q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,0.85,duplicate
q1,What is the main purpose of comments in source code?,1,1,q1,What does a compiler do with comments in source code?,2,1,0.7,low
q3,How does a compiler treat whitespace in code?,3,3,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.693,low
q3,How does a compiler treat whitespace in source code?,1,3,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.674,low
q1,What does a compiler do with comments in source code?,2,1,q1,What is the purpose of comments in code?,3,1,0.66,low
q1,What does a compiler do with comments in source code?,2,1,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.63,low
q3,How does a compiler treat whitespace in source code?,1,3,q1,What does a compiler do with comments in source code?,2,1,0.627,low
q3,How does a compiler treat whitespace in source code?,1,3,q2,Which is a good use of whitespace in code?,4,2,0.589,low
q3,How does a compiler treat whitespace in code?,3,3,q2,Which is a good use of whitespace in code?,4,2,0.586,low
q1,What does a compiler do with comments in source code?,2,1,q3,How does a compiler treat whitespace in code?,3,3,0.578,low
q1,What is the purpose of comments in code?,3,1,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.574,low
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.559,low
q2,Which is a good use of whitespace in code?,4,2,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.556,low
q3,Which is a good whitespace practice in code formatting?,2,3,q3,How does a compiler treat whitespace in code?,3,3,0.548,low
q3,How does a compiler treat whitespace in source code?,1,3,q3,Which is a good whitespace practice in code formatting?,2,3,0.547,low
q1,What is the purpose of comments in code?,3,1,q1,What does a single-line comment start with in Java?,4,1,0.544,low
q2,A single-line comment in Java starts with _____.,3,2,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.535,low
q3,How does a compiler treat whitespace in source code?,1,3,q1,What is the purpose of comments in code?,3,1,0.527,low
q1,What is the purpose of comments in code?,3,1,q2,Which is a good use of whitespace in code?,4,2,0.527,low
q1,What does a single-line comment start with in Java?,4,1,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.52,low
q1,What is the main purpose of comments in source code?,1,1,q1,What does a single-line comment start with in Java?,4,1,0.518,low
q3,Which is a good whitespace practice in code formatting?,2,3,q3,The compiler ignores _____ and comments when converting code to machine code.,4,3,0.517,low
q2,Which symbol correctly starts a single-line comment in Java?,1,2,q1,What is the purpose of comments in code?,3,1,0.51,low
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q2,Which is a good use of whitespace in code?,4,2,0.507,low
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q1,What is the purpose of comments in code?,3,1,0.505,low
q1,What is the purpose of comments in code?,3,1,q2,A single-line comment in Java starts with _____.,3,2,0.505,low
q1,What is the purpose of comments in code?,3,1,q3,How does a compiler treat whitespace in code?,3,3,0.504,low
q3,Which is a good whitespace practice in code formatting?,2,3,q1,What is the purpose of comments in code?,3,1,0.503,low
q2,A multi-line comment in Java starts with _____ and ends with _____.,2,2,q3,Which is a good whitespace practice in code formatting?,2,3,0.502,low
q1,What does a compiler do with comments in source code?,2,1,q1,What does a single-line comment start with in Java?,4,1,0.492,low
