text,answer,a,b,c,d,e,f,g,h,hint,feedback
What type of object does pandas use to represent datasets?,DataFrame,Array,List,DataFrame,Dictionary,,,,,,
How do pandas dataframes differ from NumPy arrays regarding data types?,Dataframes allow different data types per column,Dataframes require uniform data types throughout,Arrays allow different data types per column,Dataframes allow different data types per column,Arrays use string labels for indexing,,,,,,
Which parameter specifies the row labels when creating a pandas DataFrame?,index,data,columns,index,labels,,,,,,
What does the iloc() method use to select an element from a dataframe?,Row and column integer locations,Row and column labels,Row and column integer locations,Only row labels,Only column labels,,,,,,
Which operator selects rows where a dataframe column value equals a specific value?,>=,=,==,!=,>=,,,,,,
What does the index of a pandas dataframe represent?,The set of row labels,The set of column labels,The data types of columns,The set of row labels,The order of columns in the dataframe,,,,,,
How do pandas dataframes differ from NumPy arrays regarding data types?,Dataframes allow different types in each column,Dataframes have the same data type for all columns,Arrays allow different types in each row,Dataframes allow different types in each column,Arrays support string labels for indexes,,,,,,
Which pandas constructor parameter specifies the row labels when creating a dataframe?,index,columns,index,data,labels,,,,,,
How can one select multiple columns from a pandas dataframe and get another dataframe?,"df[[“column1”, “column2”]]","df[""column_name""]",df.column_name,"df[[“column1”, “column2”]]","df.loc[“column1”, “column2”]",,,,,,
"What is the effect of using comparison operators inside dataframe subsetting like df[df[""Population""] > 100000]?","It returns rows where Population values are greater than 100,000","It returns columns where Population is greater than 100,000","It returns rows where Population values are greater than 100,000","It returns a boolean value indicating if any Population is greater than 100,000","It modifies the dataframe to include only Population values above 100,000",,,,,,
A pandas dataframe's row labels are called the _____.,index,columns,index,labels,values,,,,,,
What is a key difference between pandas dataframes and NumPy arrays?,Dataframes can have columns with different data types,Dataframes allow only integer indices; arrays allow strings,Dataframes can have columns with different data types,Arrays are always two-dimensional; dataframes are not,Arrays support row and column labels; dataframes do not,,,,,,
Which constructor argument specifies column names when creating a pandas dataframe?,columns,index,columns,labels,data,,,,,,
The iloc() method in pandas selects data using _____.,integer positional indices,row and column labels,only column labels,integer positional indices,logical conditions,,,,,,
Which pandas method removes duplicate rows from a dataframe?,drop_duplicates(),drop(),drop_duplicates(),dropna(),replace(),,,,,,
What does the index of a pandas dataframe represent?,The set of row labels,The set of column labels,The data type of each column,The set of row labels,The number of columns,,,,,,
How do pandas dataframes differ from NumPy arrays in data types?,Dataframes allow different types per column,Both require all data to be the same type,Dataframes allow different types per column,Arrays allow different types per element,Dataframes must be one-dimensional,,,,,,
Which parameter names the columns when creating a pandas dataframe?,columns,index,labels,columns,data,,,,,,
What is the purpose of the iloc() method in pandas dataframes?,Selects data by integer index positions,Selects data by row and column labels,Selects data by integer index positions,Sorts the dataframe by column values,Drops rows or columns with missing data,,,,,,
How to subset rows where a dataframe column meets a condition?,"dataframe[dataframe[""column""] == value]","dataframe[dataframe[""column""] == value]",dataframe.loc[value],dataframe.iloc[value],dataframe.drop(value),,,,,,
