=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,9,0,4
2,9,0,5
3,9,0,0
4,9,0,2

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,11,81
1,3,0,3,81
1,4,0,6,81
2,3,0,5,81
2,4,0,11,81
3,4,1,4,81

Summary
Total Comparisons,630
Duplicates (≥85%),2
Similar (70-85%),51

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q4,"Which expression correctly translates ""Every new employee met the deadline""?",3,4,q7,"Which logical expression matches ""Every new employee met the deadline""?",4,7,0.927,duplicate
q2,The statement \(\forall x (P(x) \rightarrow Q(x))\) means:,1,2,q4,The expression \(\forall x (P(x) \rightarrow Q(x))\) is true if:,2,4,0.857,duplicate
q9,Which statement about variable names in quantified statements is true?,2,9,q7,Which is true about variable names in quantified statements?,3,7,0.842,similar
q4,"For the domain of employees, if all new employees met the deadline, which is true?",1,4,q4,"Which expression correctly translates ""Every new employee met the deadline""?",3,4,0.832,similar
q5,Why is \(\exists x (P(x) \land Q(x))\) true when \(P(x)\) is true for some \(x\)?,1,5,q6,The expression \(\exists x (P(x) \land Q(x))\) means _____.,4,6,0.832,similar
q2,The proposition \(\exists x (P(x) \land \lnot Q(x))\) means:,2,2,q9,The proposition \(\exists x (P(x) \lor Q(x))\) is true if _____.,4,9,0.829,similar
q4,"For the domain of employees, if all new employees met the deadline, which is true?",1,4,q7,"Which logical expression matches ""Every new employee met the deadline""?",4,7,0.828,similar
q8,Fill in the blank: The predicate \(P(x)\) with variable \(x\) free is called a/an _____ variable.,3,8,q1,A variable _____ in a predicate is bound if it is attached to a quantifier.,4,1,0.808,similar
q3,The scope of a quantifier determines:,2,3,q2,The scope of a quantifier includes _____.,4,2,0.803,similar
q6,The expression \(\exists x (P(x) \land Q(x))\) means _____.,4,6,q9,The proposition \(\exists x (P(x) \lor Q(x))\) is true if _____.,4,9,0.798,similar
q2,"Which quantifier expresses ""There exists a positive integer that is prime and even""?",3,2,q4,"The statement ""All prime numbers are odd"" translates logically to _____.",4,4,0.797,similar
q5,Why is \(\exists x (P(x) \land Q(x))\) true when \(P(x)\) is true for some \(x\)?,1,5,q5,The statement \(\exists x P(x) \land Q(x)\) differs from \(\exists x (P(x) \land Q(x))\) because:,2,5,0.793,similar
q5,Fill in the blank: The scope of a quantifier is the part of the logical expression to which the quantifier _____.,3,5,q2,The scope of a quantifier includes _____.,4,2,0.79,similar
q2,The proposition \(\exists x (P(x) \land \lnot Q(x))\) means:,2,2,q7,"In the statement \(\exists x (P(x) \lor Q(x))\), what does the quantifier \(\exists\) mean?",2,7,0.785,similar
q2,The statement \(\forall x (P(x) \rightarrow Q(x))\) means:,1,2,q7,"In the statement \(\exists x (P(x) \lor Q(x))\), what does the quantifier \(\exists\) mean?",2,7,0.779,similar
q9,Which statement about variable names in quantified statements is true?,2,9,q8,Variable names in quantified statements can be changed if _____.,4,8,0.779,similar
