=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,10,0,1
2,10,0,1
3,10,0,0
4,10,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,5,100
1,3,1,2,100
1,4,0,5,100
2,3,2,4,100
2,4,4,3,100
3,4,0,6,100

Summary
Total Comparisons,780
Duplicates (≥85%),8
Similar (70-85%),28

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,A set is defined as a/an _____ of objects.,2,1,q1,A set is defined as a/an _____ of objects.,3,1,0.962,duplicate
q5,The empty set \(\emptyset\) contains _____ elements.,2,5,q4,The empty set \(\emptyset\) has _____ elements.,4,4,0.952,duplicate
q4,The cardinality \(|A|\) of a finite set \(A\) is the _____ of distinct elements in \(A\).,2,4,q5,The cardinality \(|A|\) of a set \(A\) is the _____.,4,5,0.933,duplicate
q3,The symbol \(\in\) means an element _____ a set.,2,3,q3,The symbol \(\in\) means an element _____ a set.,4,3,0.9,duplicate
q5,Which of the following is a proper subset of \(\mathbb{Z}\)?,1,5,q7,Which of the following is a proper subset of \(\mathbb{Z}\)?,3,7,0.895,duplicate
q9,"In a Venn diagram, if circle \(A\) is completely inside circle \(B\), then:",1,9,q10,"In a Venn diagram, if the circle for \(A\) is entirely inside the circle for \(B\), then:",2,10,0.894,duplicate
q9,"If \(A \subset B\), then:",2,9,q10,"If \(A \subset B\), then \(A\) is a _____ subset of \(B\).",4,10,0.877,duplicate
q9,"If \(A \subset B\), then:",2,9,q3,"If \(A \subseteq B\) and \(B \subseteq A\), what can be concluded about \(A\) and \(B\)?",3,3,0.856,duplicate
q2,"In roster notation, the order of elements _____ affect the set.",3,2,q2,"In roster notation, the order of elements in a set _____.",4,2,0.806,similar
q4,"If every element of set \(A\) is in set \(B\), then \(A\) is a _____ of \(B\).",1,4,q8,"For sets \(A\) and \(B\), \(A \subseteq B\) means:",2,8,0.792,similar
q8,"For sets \(A\) and \(B\), \(A \subseteq B\) means:",2,8,q9,"If \(A \subset B\), then:",2,9,0.792,similar
q4,The symbol \(\in\) means:,3,4,q3,The symbol \(\in\) means an element _____ a set.,4,3,0.781,similar
q2,"Which symbol means ""element of"" a set?",1,2,q3,The symbol \(\in\) means an element _____ a set.,2,3,0.78,similar
q7,The notation \(\{ x \in \mathbb{Z} : x \text{ is even} \}\) defines a set by:,2,7,q5,Which set notation describes all even integers between 2 and 10 inclusive?,3,5,0.78,similar
q8,"For sets \(A\) and \(B\), \(A \subseteq B\) means:",2,8,q3,"If \(A \subseteq B\) and \(B \subseteq A\), what can be concluded about \(A\) and \(B\)?",3,3,0.78,similar
q8,The statement \(A = B\) means:,1,8,q9,"If \(A \subset B\), then:",2,9,0.779,similar
q3,The symbol \(\in\) means an element _____ a set.,2,3,q4,The symbol \(\in\) means:,3,4,0.774,similar
q4,"If every element of set \(A\) is in set \(B\), then \(A\) is a _____ of \(B\).",1,4,q10,"If \(A \subset B\), then \(A\) is a _____ subset of \(B\).",4,10,0.763,similar
