text,answer,a,b,c,d,e,f,g,h,hint,feedback
What must an identifier start with in Python?,A letter or underscore,A digit,A symbol,A letter or underscore,A reserved word,,,,,,
Which describes Python’s treatment of uppercase and lowercase letters in identifiers?,Case sensitive,Case insensitive,Case sensitive,Case irrelevant,Case optional,,,,,,
Which is a reason to avoid names starting and ending with double underscores?,Python reserves them for special purposes,They are invalid syntax,Python reserves them for special purposes,They cause runtime errors,They are hard to type,,,,,,
A good variable name should be _____ and use _____ between words.,meaningful; underscores,short; spaces,meaningful; underscores,uppercase; hyphens,vague; numbers,,,,,,
Why must a Python identifier start with a letter or underscore?,To avoid confusion with numbers,To allow reserved words as names,To avoid confusion with numbers,To enable case sensitivity,To support special characters,,,,,,
"How does Python treat the identifiers ""Cat"" and ""cat""?",As different identifiers,As the same identifier,As reserved words,As different identifiers,As invalid names,,,,,,
Which is a key reason to avoid names starting and ending with double underscores?,Python uses them for special purposes,They are invalid syntax,Python uses them for special purposes,They allow numbers only,They are reserved for variables only,,,,,,
A good variable name for storing temperature in Celsius is _____.,tempCelsius,tempCelsius,temperature celsius,1temperature,temperature-celsius,,,,,,
Why must Python identifiers start with a letter or underscore?,Because Python syntax requires it for valid names,To distinguish them from reserved words,To avoid confusion with numeric constants,Because digits cannot appear in identifiers at all,Because Python syntax requires it for valid names,,,,,,
What does it mean that Python identifiers are case sensitive?,Identifiers with different cases are considered different,Identifiers cannot contain uppercase letters,Identifiers with different cases are considered different,Identifiers must be all lowercase to be valid,Identifiers ignore uppercase and lowercase differences,,,,,,
Which is a reason to avoid names starting and ending with double underscores?,They are reserved for special language uses,Python treats them as reserved keywords,They are reserved for special language uses,They are invalid identifiers in Python,They cause syntax errors in Python,,,,,,
A good variable name should be _____.,meaningful and use lowercase with underscores,very short to save space,meaningful and use lowercase with underscores,a reserved word to improve readability,a random combination of letters and digits,,,,,,
What is the first character allowed in a Python identifier?,A letter,A digit,An underscore,A letter,A symbol,,,,,,
Why should variable names avoid starting and ending with double underscores?,They are reserved for system use,They are reserved for system use,They are invalid syntax,They cause runtime errors,They are ignored by the interpreter,,,,,,
"Python identifiers are case sensitive, so ""Data"" and ""data"" are considered:",Different names,The same name,Different names,Invalid names,Reserved keywords,,,,,,
Which of the following is a good variable name for storing temperature in Celsius?,temperature_celsius,tempCelsius,temperature_celsius,Temperature Celsius,temp-celsius,,,,,,
