text,answer,a,b,c,d,e,f,g,h,hint,feedback
The data science lifecycle exists to _____.,provide a step-by-step process for completing data projects,provide a step-by-step process for completing data projects,limit data scientists to only gathering data,replace the need for communication with stakeholders,focus only on model creation in projects,,,,,,
Which describes unstructured data?,"Data with no predefined format, like images or audio",Data stored in tables with rows and columns,"Data with no predefined format, like images or audio",Data stored as XML or JSON files,Data organized in a database system,,,,,,
Supervised models differ from unsupervised models because they _____.,predict a known feature from the dataset,predict a known feature from the dataset,find hidden groups without predictions,do not require labeled data,are only used for clustering data,,,,,,
What is the main purpose of exploratory data analysis?,To identify patterns and relationships in data,To create final models for prediction,To clean the dataset by removing errors,To identify patterns and relationships in data,To prepare reports for stakeholders,,,,,,
What is the main purpose of the data science lifecycle?,To complete a research project using data,To collect data without analysis,To complete a research project using data,To design databases only,To avoid using models in analysis,,,,,,
Which type of data is stored in a predefined table format with rows and columns?,Structured data,Unstructured data,Semi-structured data,Structured data,Audio data,,,,,,
Which step involves using graphs and summary statistics to find patterns in data?,Exploring data,Gathering data,Cleaning data,Exploring data,Interpreting data,,,,,,
A model that predicts whether an email is spam or not is a type of _____ model.,Classification,Unsupervised,Regression,Classification,Clustering,,,,,,
What is the main reason for cleaning data in a data science project?,To format data for modeling and visualization,To collect more data points,To format data for modeling and visualization,To create complex models automatically,To remove all numerical values,,,,,,
Which type of data is stored in tables with rows and columns?,Structured data,Unstructured data,Semi-structured data,Structured data,Raw audio data,,,,,,
Supervised models in data science are used to _____.,predict features with known values,find hidden patterns without known labels,predict features with known values,cluster data into groups automatically,clean and format raw datasets,,,,,,
"After completing data modeling, what is the next key step in the data science lifecycle?",Interpreting and communicating findings,Gathering new data,Cleaning data again,Interpreting and communicating findings,Building additional models,,,,,,
Which step of the data science lifecycle involves identifying relevant data and collecting new data if needed?,Gathering data,Cleaning data,Modeling data,Gathering data,Interpreting data,,,,,,
A dataset of customer reviews is mostly text and images. This dataset is considered _____.,unstructured,structured,semi-structured,unstructured,numerical,,,,,,
Why must datasets be cleaned before modeling in a data science project?,To format data for software and handle missing values,To ensure data is free from all outliers,To format data for software and handle missing values,To predict new outcomes using the data,To present results to stakeholders,,,,,,
"Which model type predicts a known categorical feature, like whether an email is spam or not?",Classification model,Unsupervised model,Regression model,Classification model,Clustering model,,,,,,
