text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the method scnr.next() read from input?,Characters up to the next whitespace,The entire line including spaces,Characters up to the next whitespace,Only the first character,All characters until end of file,,,,,,
What happens if a String variable is assigned to another String variable?,Both variables refer to the same String object,A new String object is created with the same characters,Both variables refer to the same String object,The first variable is deleted,The second variable becomes a primitive type,,,,,,
Which method reads an entire line including spaces into a string variable?,scnr.nextLine(),scnr.next(),scnr.readLine(),scnr.nextLine(),scnr.read(),,,,,,
What does the method scnr.next() return when reading input?,A string up to the next whitespace,The entire line including spaces until newline,A single character from input,A string up to the next whitespace,The rest of the input after the first word,,,,,,
"When assigning one String variable to another, what happens?",Both variables refer to the same String object,Both variables refer to the same String object,A new String object is created with the same content,The first variable is deleted from memory,The String variables contain independent copies of the string,,,,,,
Why is an extra scnr.nextLine() needed after scnr.next() before reading a full line?,"Because scnr.next() leaves the newline in input, which nextLine() consumes",Because scnr.next() removes the newline character,"Because scnr.next() leaves the newline in input, which nextLine() consumes",Because scnr.next() skips white spaces and nextLine() reads only whitespace,Because scnr.next() reads a full line and nextLine() reads a word,,,,,,
What does the method scnr.next() read from input?,Characters until the next whitespace,The entire line including whitespace,Characters until the next whitespace,Only whitespace characters,The entire input until EOF,,,,,,
"After assigning one String variable to another, what happens?",Both variables refer to the same String object,A new String object is created,The first variable's String is deleted,Both variables refer to the same String object,The content of the String is copied into the second variable,,,,,,
Which method should be used to read a string that includes spaces?,scnr.nextLine(),scnr.next(),scnr.nextLine(),scnr.read(),scnr.readLine(),,,,,,
What does the method scnr.next() do when reading input?,Skips leading whitespace and gets characters until next whitespace,Gets an entire line including whitespace,Skips leading whitespace and gets characters until next whitespace,Reads characters including newline characters,Reads all input until the end of file,,,,,,
"After executing str1 = scnr.next() and str2 = scnr.nextLine(), what does str2 contain?",An empty string if str1 left a newline in input,The next word after str1 without leading spaces,An empty string if str1 left a newline in input,The entire next line including leading spaces,The same value as str1,,,,,,
Why is an extra scnr.nextLine() needed when mixing next() and nextLine() calls?,To skip the newline left in the input by next(),To clear the input buffer before reading the next word,To skip the newline left in the input by next(),Because nextLine() cannot read lines after next(),To read multiple words separated by spaces,,,,,,
