text,answer,a,b,c,d,e,f,g,h,hint,feedback
"\nSelect the set that is equal to:\n$\{3, 5, 7, 9, 11, 13\} $",$\{ x \in \mathbb{Z}: x ~\mbox{is odd and}~ 3 \le x \le 14\}$,$\{ x \in \mathbb{Z}: 3 < x < 14\}$,$\{ x \in \mathbb{R}: 3 \le x < 14\}$,$\{ x \in \mathbb{Z}: x ~\mbox{is odd and}~ 3 \le x \le 14\}$,$\{ x \in \mathbb{Z}: x ~\mbox{is  prime and}~ 3 \le x < 14\}$,,,,,,
\nSelect the\n<i>false</i>\nstatement.,$\mathbb{Z} \subset  \mathbb{R}^+$,$\mathbb{Z} \subset  \mathbb{R}$,$\mathbb{Z}^+ \subseteq \mathbb{N}$,$\mathbb{Z} \subset  \mathbb{R}^+$,$\mathbb{Z} \subseteq  \mathbb{R}$,,,,,,
\nUse the definitions below to select the\n<i>true</i>\nstatement.\n$A =  \{ x \in \mathbb{Z}: x ~\mbox{is even}\}$\n$B =  \{ x \in \mathbb{Z}: -4 < x < 17\}$,$\emptyset \subset B$,$A$\nis finite.,$B \subseteq A$,$A \subset A$,$\emptyset \subset B$,,,,,,
\nUse the definition below to select the\n<i>false</i>\nstatement.\n$A =  \{ x \in \mathbb{Z}: x~\mbox{ is even and}~4 < x < 17\}$,$|A| = 7$,$4 \notin A$,$6 \in A$,$17 \notin A$,$|A| = 7$,,,,,,
"\nUse the definition below to select the\n<i>true</i>\nstatement.\n$A =  \{ x \in \mathbb{Z}: x~\mbox{ is odd and}~-4 < x < 8\}$\n$B =  \{-3, -1, 1, 3, 5, 7\}$",$A \subseteq B$,$A \subset B$,$B \subset A$,$A \subseteq B$,$A$\nis infinite.,,,,,,
"\nSelect the set that is equal to\n$\{1, 2, 3, 4\}$\n.",$\{ x \in \mathbb{Z}^+: -3 < x < 5\}$,$\{ x \in \mathbb{Z}^+: -3 < x < 5\}$,$\{ x \in \mathbb{R}^+: -3 < x < 5\}$,$\{ x \in \mathbb{Z}: -3 < x < 5\}$,$\{ x \in \mathbb{R}: -3 < x < 5\}$,,,,,,
\nUse the definition below to select the\n<i>false</i>\nstatement.\n$A =  \{ x \in \mathbb{Z}: x~\mbox{ is even and}~-4 < x < 17\}$,$A \subset \mathbb{Z}^+$,$A \subset \mathbb{Z}$,$A \subset \mathbb{Z}^+$,$|A|=10$,$0 \in A$,,,,,,
"Select the set that is\n<i>not</i>\nequal to\n$\{-4, -3, -2, -1, 0\}$\n.",$\{ x \in \mathbb{Z}: x < 0 ~\mbox{and}~ x^2 \le 2\}$,"$\{0, -4, -3, -2, -1\}$",$\{ x \in \mathbb{Z}: x < 0 ~\mbox{and}~ x^2 \le 2\}$,$\{ x \in \mathbb{Z}: x \le 0 ~\mbox{and}~ x^2 \le 16\}$,$\{ x \in \mathbb{Z}: x \le 0 ~\mbox{and}~ |x| <  5\}$,,,,,,
Select the infinite set.,$\{ x \in \mathbb{Z}^+: x > 300\}$,$\emptyset$,$\{ x \in \mathbb{Z}^+: x < 300\}$,$\{ x \in \mathbb{Z}^+: x > 300\}$,$\{ x \in \mathbb{Z}: x^2 \le 300\}$,,,,,,
\nUse the definitions below to select the\n<i>true</i>\nstatement.\n$A =  \{ x \in \mathbb{Z}: x~\mbox{ is even and}~-4 < x < 17\}$\n$B =  \{ x \in \mathbb{Z}: x < 9\}$,$5  \not\in A$\nand\n$5 \in B$,$5 \in A$\nand\n$5 \in B$,$5 \in A$\nand\n$5 \not\in B$,$5  \not\in A$\nand\n$5 \in B$,$5  \not\in A$\nand\n$5  \not\in B$,,,,,,
