=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,6,0,0
2,6,0,0
3,6,0,0
4,6,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,0,36
1,3,1,2,36
1,4,1,2,36
2,3,1,3,36
2,4,1,3,36
3,4,1,2,36

Summary
Total Comparisons,276
Duplicates (≥85%),8
Similar (70-85%),12

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why is data exploration essential in data wrangling?,3,1,q1,Why is data exploration important in data wrangling?,4,1,0.965,duplicate
q1,What is the main purpose of data exploration in data wrangling?,1,1,q1,What is the main purpose of data exploration in data wrangling?,2,1,0.939,duplicate
q2,Which pandas method splits a DataFrame into subsets based on a categorical feature?,1,2,q6,Which pandas method splits a dataframe into groups based on a categorical feature?,2,6,0.923,duplicate
q3,A frequency table displays _____ of a categorical feature.,1,3,q3,A frequency table displays _____ for each category in a categorical feature.,2,3,0.922,duplicate
q1,What is the main purpose of data exploration in data wrangling?,2,1,q1,Why is data exploration important in data wrangling?,4,1,0.895,duplicate
q1,What is the main purpose of data exploration in data wrangling?,1,1,q1,Why is data exploration important in data wrangling?,4,1,0.873,duplicate
q1,What is the main purpose of data exploration in data wrangling?,2,1,q1,Why is data exploration essential in data wrangling?,3,1,0.865,duplicate
q2,Which pandas method splits a DataFrame into subsets based on a categorical feature?,1,2,q5,"In pandas, which function splits a dataframe into subsets based on a categorical feature?",3,5,0.861,duplicate
q1,What is the main purpose of data exploration in data wrangling?,1,1,q1,Why is data exploration essential in data wrangling?,3,1,0.848,similar
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,0.848,similar
q6,Which pandas method splits a dataframe into groups based on a categorical feature?,2,6,q5,"In pandas, which function splits a dataframe into subsets based on a categorical feature?",3,5,0.812,similar
q4,What describes a contingency table in data analysis?,2,4,q4,What does a contingency table show in data exploration?,4,4,0.792,similar
q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.785,similar
q4,How does a pivot table differ from a frequency table?,1,4,q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,0.774,similar
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.755,similar
q4,How does a pivot table differ from a frequency table?,1,4,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.736,similar
q5,"In a contingency table, the values represent the _____.",1,5,q4,What does a contingency table show in data exploration?,4,4,0.718,similar
q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.718,similar
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,0.713,similar
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.713,similar
q4,How does a pivot table differ from a frequency table?,1,4,q5,"In a pivot table, the rows and columns display values from _____.",2,5,0.69,low
q5,"In a contingency table, the values represent the _____.",1,5,q4,What describes a contingency table in data analysis?,2,4,0.677,low
q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,0.676,low
q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.67,low
q3,A frequency table displays _____ for each category in a categorical feature.,2,3,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.664,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.653,low
q4,How does a pivot table differ from a frequency table?,1,4,q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,0.652,low
q4,How does a pivot table differ from a frequency table?,1,4,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.636,low
q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.627,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q5,"In a contingency table, the values represent the _____.",1,5,0.626,low
q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.626,low
q5,"In a contingency table, the values represent the _____.",1,5,q6,"In a pivot table, the rows represent one categorical feature, and the columns represent _____.",3,6,0.615,low
q5,"In a contingency table, the values represent the _____.",1,5,q3,A frequency table displays _____ for each category in a categorical feature.,2,3,0.614,low
q5,"In a contingency table, the values represent the _____.",1,5,q5,"In a pivot table, the rows and columns display values from _____.",2,5,0.603,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q4,What does a contingency table show in data exploration?,4,4,0.602,low
q3,A table showing counts of rear-wheel drive cars is a _____ table.,3,3,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.598,low
q3,A frequency table displays _____ for each category in a categorical feature.,2,3,q4,What does a contingency table show in data exploration?,4,4,0.592,low
q2,Grouping data by a categorical feature primarily helps to _____.,2,2,q2,Which feature type is best for grouping a dataset into subsets?,4,2,0.587,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q3,A table showing counts of rear-wheel drive cars is a _____ table.,3,3,0.584,low
q4,What describes a contingency table in data analysis?,2,4,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.572,low
q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,q4,What does a contingency table show in data exploration?,4,4,0.568,low
q3,A frequency table displays _____ for each category in a categorical feature.,2,3,q3,A table showing counts of rear-wheel drive cars is a _____ table.,3,3,0.567,low
q2,Which feature is best to group the cars dataset for meaningful subsets?,3,2,q2,Which feature type is best for grouping a dataset into subsets?,4,2,0.566,low
q2,Grouping data by a categorical feature primarily helps to _____.,2,2,q5,"In a pivot table, the rows and columns display values from _____.",2,5,0.564,low
q4,How does a pivot table differ from a frequency table?,1,4,q3,A frequency table displays _____ for each category in a categorical feature.,2,3,0.562,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q4,How does a pivot table differ from a frequency table?,1,4,0.561,low
q5,"In a contingency table, the values represent the _____.",1,5,q3,A table showing group sizes for a categorical feature is called a _____ table.,4,3,0.549,low
q2,Grouping data by a categorical feature primarily helps to _____.,2,2,q5,"In pandas, which function splits a dataframe into subsets based on a categorical feature?",3,5,0.544,low
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q2,Which feature type is best for grouping a dataset into subsets?,4,2,0.543,low
q4,How does a pivot table differ from a frequency table?,1,4,q4,What describes a contingency table in data analysis?,2,4,0.54,low
q6,Which code snippet creates a pivot table with 'Drive' as rows and 'EngineType' as columns in pandas?,1,6,q5,What does the pandas method df.groupby(by=['Drive']).median() compute?,4,5,0.538,low
q5,"In a pivot table, the rows and columns display values from _____.",2,5,q4,What does a contingency table show in data exploration?,4,4,0.538,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q4,What describes a contingency table in data analysis?,2,4,0.536,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,0.534,low
q3,A frequency table displays _____ of a categorical feature.,1,3,q5,"In a pivot table, the rows and columns display values from _____.",2,5,0.533,low
q4,How does a pivot table differ from a frequency table?,1,4,q4,What does a contingency table show in data exploration?,4,4,0.532,low
q4,How does a pivot table differ from a frequency table?,1,4,q2,Grouping data by a categorical feature primarily helps to _____.,2,2,0.529,low
q2,Grouping data by a categorical feature primarily helps to _____.,2,2,q6,Which pandas method splits a dataframe into groups based on a categorical feature?,2,6,0.528,low
q3,A frequency table displays _____ for each category in a categorical feature.,2,3,q4,A pivot table differs from a frequency table by summarizing data based on _____ categorical features.,3,4,0.524,low
q4,How does a pivot table differ from a frequency table?,1,4,q5,"In pandas, which function splits a dataframe into subsets based on a categorical feature?",3,5,0.523,low
q5,"In a contingency table, the values represent the _____.",1,5,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.521,low
q2,Which pandas method splits a DataFrame into subsets based on a categorical feature?,1,2,q2,Grouping data by a categorical feature primarily helps to _____.,2,2,0.519,low
q3,A frequency table displays _____ for each category in a categorical feature.,2,3,q4,What describes a contingency table in data analysis?,2,4,0.517,low
q6,Which pandas method splits a dataframe into groups based on a categorical feature?,2,6,q5,What does the pandas method df.groupby(by=['Drive']).median() compute?,4,5,0.513,low
q2,Which feature type is best for grouping a dataset into subsets?,4,2,q4,What does a contingency table show in data exploration?,4,4,0.512,low
q2,Grouping data by a categorical feature primarily helps to _____.,2,2,q6,"In a pivot table, what is assigned to the columns parameter?",4,6,0.511,low
q2,Which pandas method splits a DataFrame into subsets based on a categorical feature?,1,2,q4,How does a pivot table differ from a frequency table?,1,4,0.509,low
