=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,6,0,0
2,6,0,0
3,6,0,1
4,6,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,2,36
1,3,2,1,36
1,4,1,1,36
2,3,1,3,36
2,4,1,1,36
3,4,1,1,36

Summary
Total Comparisons,276
Duplicates (≥85%),7
Similar (70-85%),10

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the print() function output by default at the end of its output?,1,1,q1,What does the print() function output by default at the end of its output?,2,1,0.981,duplicate
q1,What does the print() function output by default at the end of its output?,1,1,q1,What does the print() function output by default after printing a string?,4,1,0.933,duplicate
q1,What does the print() function output by default at the end of its output?,2,1,q1,What does the print() function output by default after printing a string?,4,1,0.932,duplicate
q1,What does the print() function output by default at the end of its output?,1,1,q1,What does the print() function automatically add at the end of its output?,3,1,0.928,duplicate
q1,What does the print() function output by default at the end of its output?,2,1,q1,What does the print() function automatically add at the end of its output?,3,1,0.926,duplicate
q2,How can a program read a user-entered value into a variable named user_input?,1,2,q3,How can a program read a string input from a user and store it in a variable named user_input?,3,3,0.906,duplicate
q1,What does the print() function automatically add at the end of its output?,3,1,q1,What does the print() function output by default after printing a string?,4,1,0.876,duplicate
q2,Which escape sequence moves output to the next line within a string?,3,2,q2,Which escape sequence inserts a newline inside a string in Python?,4,2,0.78,similar
q1,What does the print() function automatically add at the end of its output?,3,1,q5,"What is the effect of adding end="" "" inside a print() function?",3,5,0.76,similar
q4,Which statement correctly reads a user input string into the variable user_name?,2,4,q3,How can a program read a string input from a user and store it in a variable named user_input?,3,3,0.746,similar
q4,How can multiple values be printed on the same line with spaces automatically added between them?,1,4,q2,Which Python code correctly prints the string Hello on one line and World on the next line?,2,2,0.742,similar
q2,How can a program read a user-entered value into a variable named user_input?,1,2,q4,Which statement correctly reads a user input string into the variable user_name?,2,4,0.732,similar
q3,"How does using print(""Hello"", end="" "") affect subsequent print outputs?",2,3,q5,"What is the effect of adding end="" "" inside a print() function?",3,5,0.728,similar
q1,What does the print() function output by default at the end of its output?,2,1,q5,"What is the effect of adding end="" "" inside a print() function?",3,5,0.727,similar
q5,"To keep the next print output on the same line separated by a space, what syntax is used?",1,5,q5,How can a programmer keep two print statements output on the same line?,4,5,0.716,similar
q1,What does the print() function output by default at the end of its output?,1,1,q5,"What is the effect of adding end="" "" inside a print() function?",3,5,0.714,similar
q5,Why is int() used with input() when reading numbers?,2,5,q4,What is the purpose of int() when used with input()?,4,4,0.707,similar
q4,How can multiple values be printed on the same line with spaces automatically added between them?,1,4,q5,"To keep the next print output on the same line separated by a space, what syntax is used?",1,5,0.697,low
