=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,7,0,0
2,7,0,2
3,7,0,0
4,7,0,1

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,1,4,49
1,3,1,3,49
1,4,1,7,49
2,3,1,3,49
2,4,1,9,49
3,4,2,3,49

Summary
Total Comparisons,378
Duplicates (≥85%),7
Similar (70-85%),32

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What is a sentinel value used for in a while loop?,3,1,q2,What is a sentinel value used for in a while loop?,4,2,0.955,duplicate
q1,What does a while loop do in a program?,1,1,q1,What does a while loop do in a program?,2,1,0.941,duplicate
q3,What is a sentinel value in a while loop?,1,3,q2,What is a sentinel value used for in a while loop?,4,2,0.9,duplicate
q3,What is the purpose of a sentinel value in a while loop?,2,3,q1,What is a sentinel value used for in a while loop?,3,1,0.895,duplicate
q3,What is the purpose of a sentinel value in a while loop?,2,3,q2,What is a sentinel value used for in a while loop?,4,2,0.895,duplicate
q3,What is a sentinel value in a while loop?,1,3,q1,What is a sentinel value used for in a while loop?,3,1,0.891,duplicate
q3,"In a while loop, what does indentation indicate?",3,3,q4,What does indentation define in a while loop?,4,4,0.862,duplicate
q4,How can an infinite loop occur in a while loop?,1,4,q5,Why might a while loop become an infinite loop?,2,5,0.839,similar
q3,What is a sentinel value in a while loop?,1,3,q3,What is the purpose of a sentinel value in a while loop?,2,3,0.838,similar
q5,Why might a while loop become an infinite loop?,2,5,q2,What causes a while loop to become an infinite loop?,3,2,0.819,similar
q5,What is the purpose of indentation in a while loop's code?,1,5,q4,What does indentation define in a while loop?,4,4,0.81,similar
q4,How can an infinite loop occur in a while loop?,1,4,q2,What causes a while loop to become an infinite loop?,3,2,0.805,similar
q6,How can a programmer prevent an infinite loop?,2,6,q6,How can an infinite loop be prevented?,4,6,0.804,similar
q4,Which indentation indicates the code that runs inside the while loop?,2,4,q4,What does indentation define in a while loop?,4,4,0.764,similar
q5,Why might a while loop become an infinite loop?,2,5,q3,What will happen if a while loop's condition is always True?,4,3,0.762,similar
q5,Why might a while loop become an infinite loop?,2,5,q7,What happens if the while loop condition is False before the first iteration?,2,7,0.76,similar
q2,What causes a while loop to become an infinite loop?,3,2,q1,What condition keeps a while loop running?,4,1,0.755,similar
q4,How can an infinite loop occur in a while loop?,1,4,q5,When does a while loop stop executing?,4,5,0.748,similar
q4,How can an infinite loop occur in a while loop?,1,4,q3,What will happen if a while loop's condition is always True?,4,3,0.746,similar
q4,Which indentation indicates the code that runs inside the while loop?,2,4,q3,"In a while loop, what does indentation indicate?",3,3,0.744,similar
q7,What happens if the while loop condition is False before the first iteration?,2,7,q3,What will happen if a while loop's condition is always True?,4,3,0.744,similar
q4,How can an infinite loop occur in a while loop?,1,4,q1,What condition keeps a while loop running?,4,1,0.74,similar
q1,What condition keeps a while loop running?,4,1,q5,When does a while loop stop executing?,4,5,0.739,similar
q4,How can an infinite loop occur in a while loop?,1,4,q6,How can a programmer prevent an infinite loop?,2,6,0.738,similar
q5,What is the purpose of indentation in a while loop's code?,1,5,q3,"In a while loop, what does indentation indicate?",3,3,0.735,similar
q1,What does a while loop do in a program?,2,1,q5,When does a while loop stop executing?,4,5,0.735,similar
q5,Why might a while loop become an infinite loop?,2,5,q1,What condition keeps a while loop running?,4,1,0.734,similar
q1,What does a while loop do in a program?,2,1,q1,What condition keeps a while loop running?,4,1,0.732,similar
q5,Why might a while loop become an infinite loop?,2,5,q5,When does a while loop stop executing?,4,5,0.728,similar
q4,How can an infinite loop occur in a while loop?,1,4,q7,What happens if the while loop condition is False before the first iteration?,2,7,0.727,similar
q4,How can an infinite loop occur in a while loop?,1,4,q6,How can an infinite loop be prevented?,4,6,0.723,similar
q6,"If a while loop condition is ""while x != 3:"" and x is divided by 2 each iteration starting at 10, what happens?",1,6,q7,"If the loop condition is while x != 5 and x starts at 3 and increases by 1 each iteration, how many times will the loop run?",4,7,0.723,similar
q7,What happens if the while loop condition is False before the first iteration?,2,7,q5,When does a while loop stop executing?,4,5,0.723,similar
q7,What is a good practice to avoid infinite loops?,1,7,q6,Why is it good practice to include greater than or less than in a while loop condition?,3,6,0.718,similar
q5,Why might a while loop become an infinite loop?,2,5,q6,How can a programmer prevent an infinite loop?,2,6,0.718,similar
q6,How can a programmer prevent an infinite loop?,2,6,q2,What causes a while loop to become an infinite loop?,3,2,0.718,similar
q1,What does a while loop do in a program?,1,1,q1,What condition keeps a while loop running?,4,1,0.706,similar
q2,What causes a while loop to become an infinite loop?,3,2,q5,When does a while loop stop executing?,4,5,0.702,similar
q2,What causes a while loop to become an infinite loop?,3,2,q3,What will happen if a while loop's condition is always True?,4,3,0.701,similar
q7,What is a good practice to avoid infinite loops?,1,7,q6,How can a programmer prevent an infinite loop?,2,6,0.698,low
q4,How many times will this loop run? <br> x = 0 while x > 0: &nbsp;&nbsp;&nbsp;print(x) &nbsp;&nbsp;&nbsp;x = x - 1,3,4,q7,How many times does the loop body execute in the code below? <br> score = 0 while score < 20: &nbsp;&nbsp;&nbsp;print(score) &nbsp;&nbsp;&nbsp;score = score + 5,3,7,0.695,low
q6,"If a while loop condition is ""while x != 3:"" and x is divided by 2 each iteration starting at 10, what happens?",1,6,q4,How many times will this loop run? <br> x = 0 while x > 0: &nbsp;&nbsp;&nbsp;print(x) &nbsp;&nbsp;&nbsp;x = x - 1,3,4,0.693,low
q7,What happens if the while loop condition is False before the first iteration?,2,7,q1,What condition keeps a while loop running?,4,1,0.693,low
q2,"In a while loop, what is an iteration?",2,2,q5,When does a while loop stop executing?,4,5,0.69,low
q1,What does a while loop do in a program?,1,1,q5,When does a while loop stop executing?,4,5,0.688,low
q2,"In a while loop, what does the loop condition control?",1,2,q1,What condition keeps a while loop running?,4,1,0.688,low
q7,What happens if the while loop condition is False before the first iteration?,2,7,q2,What causes a while loop to become an infinite loop?,3,2,0.688,low
q5,Fill in the blank: A while loop runs a block of code repeatedly as long as the loop's _____ is True.,3,5,q1,What condition keeps a while loop running?,4,1,0.687,low
