=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,7,0,2
2,7,0,4
3,7,0,4
4,7,0,7

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,12,49
1,3,1,12,49
1,4,2,8,49
2,3,0,13,49
2,4,3,16,49
3,4,0,12,49

Summary
Total Comparisons,378
Duplicates (≥85%),8
Similar (70-85%),90

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the base case prove in a mathematical induction proof?,1,1,q1,What does the base case prove in a proof by mathematical induction?,2,1,0.942,duplicate
q2,"In the inductive step, what must be shown to prove the theorem?",2,2,q2,"In the inductive step, what must be shown to prove a statement for all positive integers?",4,2,0.924,duplicate
q2,"In the inductive step, what is assumed to prove the statement for \(k+1\)?",1,2,q2,"In the inductive step, what must be shown to prove a statement for all positive integers?",4,2,0.904,duplicate
q4,Which expression represents \(P(k+1)\) if \(P(n): \sum_{j=1}^n j = \frac{n(n+1)}{2}\)?,2,4,q4,"In the formula \(P(n): \sum_{j=1}^n j = \frac{n(n+1)}{2}\), what is the expression for \(P(k+1)\)?",4,4,0.891,duplicate
q3,The inductive hypothesis in the statement “\(S(k)\) implies \(S(k+1)\)” is:,1,3,q3,The inductive hypothesis in an inductive proof is:,3,3,0.889,duplicate
q2,"In the inductive step, what is assumed to prove the statement for \(k+1\)?",1,2,q2,"In the inductive step, what must be shown to prove the theorem?",2,2,0.886,duplicate
q1,What does the base case prove in a proof by mathematical induction?,2,1,q1,What does the base case prove in a proof by mathematical induction?,4,1,0.875,duplicate
q1,What does the base case prove in a mathematical induction proof?,1,1,q1,What does the base case prove in a proof by mathematical induction?,4,1,0.854,duplicate
q5,What does the principle of mathematical induction guarantee if the base case and inductive step hold?,1,5,q5,Why is the principle of mathematical induction valid for proving statements about positive integers?,4,5,0.85,similar
q2,"In the inductive step, what must be shown?",3,2,q2,"In the inductive step, what must be shown to prove a statement for all positive integers?",4,2,0.849,similar
q1,What does the base case prove in a proof by mathematical induction?,2,1,q1,What does the base case in an inductive proof establish?,3,1,0.842,similar
q1,What does the base case in an inductive proof establish?,3,1,q1,What does the base case prove in a proof by mathematical induction?,4,1,0.84,similar
q1,What does the base case prove in a mathematical induction proof?,1,1,q1,What does the base case in an inductive proof establish?,3,1,0.823,similar
q7,"The principle of mathematical induction states that if \(S(1)\) is true and \(S(k)\) implies \(S(k+1)\), then:",2,7,q5,Why is the principle of mathematical induction valid for proving statements about positive integers?,4,5,0.823,similar
q2,"In the inductive step, what must be shown?",3,2,q6,Why is the inductive step considered an infinite sequence of implications?,3,6,0.823,similar
q3,The inductive hypothesis in the statement “\(S(k)\) implies \(S(k+1)\)” is:,1,3,q2,"In the inductive step, what must be shown?",3,2,0.822,similar
q2,"In the inductive step, what must be shown to prove the theorem?",2,2,q2,"In the inductive step, what must be shown?",3,2,0.818,similar
q3,What is called the inductive hypothesis in an inductive proof?,2,3,q3,The inductive hypothesis in an inductive proof is:,3,3,0.817,similar
q2,"In the inductive step, what is assumed to prove the statement for \(k+1\)?",1,2,q3,What is called the inductive hypothesis in an inductive proof?,2,3,0.811,similar
q2,"In the inductive step, what is assumed to prove the statement for \(k+1\)?",1,2,q2,"In the inductive step, what must be shown?",3,2,0.809,similar
