Criterion,AI_Failures,AI_Total,AI_Failure_Rate_%,SME_Failures,SME_Total,SME_Failure_Rate_%,Difference_%
Longest Answer Correct,168,1230,13.66,6,322,1.86,11.8
Absolute Terms,118,1230,9.59,6,322,1.86,7.73
Avoid Convergence Cues,113,1230,9.19,62,322,19.25,-10.07
Word Repeats In Stem And Correct Answer,77,1230,6.26,4,322,1.24,5.02
Implausible Distractors,70,1230,5.69,7,322,2.17,3.52
Complex K Type,70,1230,5.69,62,322,19.25,-13.56
Negative Worded Stem,58,1230,4.72,35,322,10.87,-6.15
Grammatical Cues In Stem,43,1230,3.5,32,322,9.94,-6.44
Avoid Logical Cues,43,1230,3.5,12,322,3.73,-0.23
Lost Sequence,32,1230,2.6,3,322,0.93,1.67
Ambiguous Unclear Information,29,1230,2.36,9,322,2.8,-0.44
None Of The Above,27,1230,2.2,0,322,0.0,2.2
Vague Terms,12,1230,0.98,2,322,0.62,0.35
True Or False,10,1230,0.81,2,322,0.62,0.19
More Than One Correct,3,1230,0.24,1,322,0.31,-0.07
All Of The Above,2,1230,0.16,1,322,0.31,-0.15
Gratuitous Information In Stem,1,1230,0.08,3,322,0.93,-0.85
Unfocused Stem,0,1230,0.0,5,322,1.55,-1.55
