text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
\nSelect the proposition that is a tautology.,$(p \wedge q) \to p$,$(p \wedge q) \to \neg p$,$(p \vee q) \to p$,$(p \wedge q) \leftrightarrow p$,$(p \wedge q) \to p$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the proposition that is a contradiction.,$\neg (p \vee q) \wedge p$,$\neg (p \vee q) \wedge p$,$(p \vee q) \wedge p$,$(\neg p \wedge q) \leftrightarrow p$,$(\neg p \wedge \neg q) \to p$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nSelect the proposition that is logically equivalent to\n$\neg p \to q$\n.,$p \vee q$,$p \wedge \neg q$,$p \vee q$,$\neg p \vee q$,$\neg p \wedge q$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""It is not true that the employee received a large bonus and has a big office.""",The employee did not receive a big bonus or does not have a big office.,The employee received a big bonus or has a big office.,The employee did not receive a big bonus and does not have a big office.,The employee did not receive a big bonus or does not have a big office.,The employee received a big bonus and has a big office.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""It is not true that the patient has high blood pressure or influenza.""",The patient does not have high blood pressure and does not have influenza.,The patient has high blood pressure or has influenza.,The patient does not have high blood pressure and does not have influenza.,The patient does not have high blood pressure or does not have influenza.,The patient has high blood pressure and has influenza.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""The employee did not receive a big bonus and does not have a big office.""",It's not true that the employee has a big office or received a large bonus.,The employee did not receive a big bonus or the employee does not have a big  office.,It's not true that the employee has a big office and received a large bonus.,It's not true that the employee has a big office or received a large bonus.,"If the employee received a large bonus, then the employee also has a big office.",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""The patient does not have high blood pressure or the patient does not have influenza.""",It is not true that the patient has high blood pressure and influenza.,It is not true that the patient has high blood pressure and influenza.,It is not true that the patient has high blood pressure or influenza.,The patient does not have high blood pressure and the patient does not have influenza.,The patient has high blood pressure but not  influenza.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the proposition that is neither a tautology or a contradiction.,$(p \vee q) \rightarrow q$,$(p \wedge q) \rightarrow q$,$(p \vee q) \rightarrow q$,$q \rightarrow (p \vee q)$,$(p \wedge \neg p) \rightarrow q$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nSelect the proposition that is neither a tautology or a contradiction.,$(\neg p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \leftrightarrow \neg q) \vee (p \leftrightarrow q)$,$(\neg p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \rightarrow q) \vee  (q \rightarrow p)$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
\nSelect the proposition that is logically equivalent to\n$p \leftrightarrow q$\n.,$(p \wedge q) \vee (\neg p \wedge \neg q)$,$(p \vee q) \wedge (\neg p \vee \neg q)$,$(p \wedge q) \vee (\neg p \wedge \neg q)$,$(p \rightarrow q) \vee (q \rightarrow p)$,$(\neg p \rightarrow q) \wedge  (\neg q \rightarrow p)$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
\nSelect the proposition that is logically equivalent to\n$p \wedge \neg q$\n.,$\neg(p \rightarrow q)$,$\neg(q \rightarrow p)$,$\neg(p \rightarrow q)$,$\neg(\neg p \rightarrow q)$,$\neg(q \rightarrow \neg p)$,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
