=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,8,0,0
2,8,0,0
3,8,0,0
4,8,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,2,1,64
1,3,3,3,64
1,4,1,3,64
2,3,1,2,64
2,4,1,1,64
3,4,1,2,64

Summary
Total Comparisons,496
Duplicates (≥85%),9
Similar (70-85%),12

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q4,What keyword is used in Python to create a new function?,3,4,q2,What keyword defines a new function in Python?,4,2,0.961,duplicate
q5,What is the difference between a parameter and an argument?,1,5,q5,What is the difference between a parameter and an argument in functions?,2,5,0.894,duplicate
q1,What is the main purpose of defining a function in a program?,1,1,q1,Why do programmers use functions in a program?,3,1,0.893,duplicate
q4,A function parameter is _____.,1,4,q4,A function parameter is _____.,4,4,0.882,duplicate
q6,What does a return statement in a function do?,1,6,q7,What does a return statement do inside a function?,3,7,0.882,duplicate
q8,What does a hierarchical (nested) function call mean?,1,8,q8,What is a hierarchical (nested) function call?,2,8,0.877,duplicate
q6,"If a function has no return statement, what value does it return by default?",2,6,q7,What does a function return if it has no return statement?,4,7,0.876,duplicate
q4,A function parameter is _____.,1,4,q5,A function parameter is:,3,5,0.863,duplicate
q1,Why are functions used to group statements in a program?,2,1,q1,Why do programmers use functions in a program?,3,1,0.856,duplicate
q3,Which keyword is used to define a new function in Python?,1,3,q4,What keyword is used in Python to create a new function?,3,4,0.847,similar
q3,Which keyword is used to define a new function in Python?,1,3,q2,What keyword defines a new function in Python?,4,2,0.832,similar
q1,What is the main purpose of defining a function in a program?,1,1,q1,Why are functions used to group statements in a program?,2,1,0.824,similar
q5,A function parameter is:,3,5,q4,A function parameter is _____.,4,4,0.823,similar
q7,How are multiple parameters specified in a function definition?,1,7,q5,Which symbol separates multiple parameters in a function definition?,4,5,0.784,similar
q8,What does a hierarchical (nested) function call mean?,1,8,q8,Hierarchical function calls occur when a function _____.,4,8,0.781,similar
q8,What is a hierarchical (nested) function call?,2,8,q8,Hierarchical function calls occur when a function _____.,4,8,0.768,similar
q8,What is a hierarchical (nested) function call?,2,8,q8,"In hierarchical function calls, what occurs?",3,8,0.746,similar
q8,What does a hierarchical (nested) function call mean?,1,8,q8,"In hierarchical function calls, what occurs?",3,8,0.744,similar
q3,What is the purpose of the return statement in a function?,2,3,q7,What does a return statement do inside a function?,3,7,0.737,similar
q2,How does a function call affect program execution?,1,2,q2,What happens when a function call is executed in a program?,3,2,0.706,similar
q8,"In hierarchical function calls, what occurs?",3,8,q8,Hierarchical function calls occur when a function _____.,4,8,0.705,similar
q6,What does a return statement in a function do?,1,6,q3,What is the purpose of the return statement in a function?,2,3,0.694,low
q2,How does a function call affect program execution?,1,2,q2,What does a function call do in a program?,2,2,0.664,low
q4,A function parameter is _____.,1,4,q3,A function definition must include _____ followed by a block of statements.,3,3,0.647,low
q2,What happens when a function call is executed in a program?,3,2,q3,"In Python, a function call causes execution to _____.",4,3,0.638,low
q3,A function definition must include _____ followed by a block of statements.,3,3,q5,A function parameter is:,3,5,0.631,low
q6,What does a return statement in a function do?,1,6,q2,What does a function call do in a program?,2,2,0.628,low
q5,What is the difference between a parameter and an argument?,1,5,q5,A function parameter is:,3,5,0.622,low
q2,What does a function call do in a program?,2,2,q2,What happens when a function call is executed in a program?,3,2,0.622,low
