=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,4,0,0
2,4,0,1
3,4,0,0
4,4,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,3,16
1,3,0,2,16
1,4,0,2,16
2,3,1,4,16
2,4,1,2,16
3,4,1,2,16

Summary
Total Comparisons,120
Duplicates (≥85%),3
Similar (70-85%),16

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,What does the equality operator (==) check in an if statement?,2,1,q1,What does the equality operator (==) check in an if statement?,3,1,0.922,duplicate
q1,What does the equality operator (==) check in an if statement?,2,1,q1,What does the equality operator (==) check in an if statement?,4,1,0.895,duplicate
q1,What does the equality operator (==) check in an if statement?,3,1,q1,What does the equality operator (==) check in an if statement?,4,1,0.876,duplicate
q3,"In an if-else statement, which branch executes if the condition is False?",3,3,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.812,similar
q1,What does the equality operator == do in an if statement?,1,1,q1,What does the equality operator (==) check in an if statement?,3,1,0.801,similar
q2,What happens when an if statement's condition evaluates to False?,2,2,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.793,similar
q2,What happens when an if statement's condition evaluates to False?,2,2,q2,What happens when an if statement’s expression evaluates to False?,3,2,0.778,similar
q1,What does the equality operator == do in an if statement?,1,1,q1,What does the equality operator (==) check in an if statement?,4,1,0.771,similar
q3,"In an if-else statement, when does the else branch execute?",2,3,q3,"In an if-else statement, which branch executes if the condition is False?",3,3,0.767,similar
q2,What happens when an if statement’s expression evaluates to False?,3,2,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.764,similar
q4,What keyword is used to add additional conditions after an if statement?,2,4,q4,What keyword introduces an additional branch between if and else?,3,4,0.762,similar
q1,What does the equality operator == do in an if statement?,1,1,q1,What does the equality operator (==) check in an if statement?,2,1,0.761,similar
q3,"In an if-else statement, when does the else branch execute?",2,3,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.745,similar
q2,What is the purpose of the else branch in an if-else statement?,1,2,q3,"In an if-else statement, when does the else branch execute?",2,3,0.739,similar
q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,q3,"In an if-else statement, which branch executes if the condition is False?",3,3,0.737,similar
q2,What happens when an if statement's condition evaluates to False?,2,2,q3,"In an if-else statement, which branch executes if the condition is False?",3,3,0.713,similar
q4,The inequality operator != evaluates to True when two values are _____.,1,4,q1,What does the equality operator (==) check in an if statement?,2,1,0.709,similar
q2,What is the purpose of the else branch in an if-else statement?,1,2,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.707,similar
q2,What happens when an if statement's condition evaluates to False?,2,2,q3,"In an if-else statement, when does the else branch execute?",2,3,0.705,similar
q4,The inequality operator != evaluates to True when two values are _____.,1,4,q1,What does the equality operator (==) check in an if statement?,3,1,0.695,low
q2,What is the purpose of the else branch in an if-else statement?,1,2,q3,"In an if-else statement, which branch executes if the condition is False?",3,3,0.68,low
q1,What does the equality operator == do in an if statement?,1,1,q2,What is the purpose of the else branch in an if-else statement?,1,2,0.679,low
q4,What keyword introduces an additional branch between if and else?,3,4,q3,What keyword allows checking multiple conditions in sequence in Python?,4,3,0.676,low
q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.673,low
q4,The inequality operator != evaluates to True when two values are _____.,1,4,q1,What does the equality operator (==) check in an if statement?,4,1,0.668,low
q1,What does the equality operator == do in an if statement?,1,1,q3,"In an if-else statement, when does the else branch execute?",2,3,0.66,low
q4,What keyword is used to add additional conditions after an if statement?,2,4,q3,What keyword allows checking multiple conditions in sequence in Python?,4,3,0.639,low
q2,What happens when an if statement’s expression evaluates to False?,3,2,q3,"In an if-else statement, which branch executes if the condition is False?",3,3,0.633,low
q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,q2,What happens when an if statement's condition evaluates to False?,2,2,0.629,low
q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,q3,"In an if-else statement, when does the else branch execute?",2,3,0.622,low
q3,"In an if-else statement, when does the else branch execute?",2,3,q2,What happens when an if statement’s expression evaluates to False?,3,2,0.612,low
q2,What is the purpose of the else branch in an if-else statement?,1,2,q2,What happens when an if statement's condition evaluates to False?,2,2,0.611,low
q2,What is the purpose of the else branch in an if-else statement?,1,2,q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,0.597,low
q3,"In an if-else statement, when does the else branch execute?",2,3,q1,What does the equality operator (==) check in an if statement?,3,1,0.597,low
q3,"In a multi-branch if-else statement, how many branches can execute?",1,3,q2,What happens when an if statement’s expression evaluates to False?,3,2,0.582,low
q2,What is the purpose of the else branch in an if-else statement?,1,2,q1,What does the equality operator (==) check in an if statement?,3,1,0.574,low
q1,What does the equality operator == do in an if statement?,1,1,q2,"In an if-else statement, what happens if the condition is false?",4,2,0.563,low
