=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,3,2,25
1,3,1,1,25
1,4,0,2,25
2,3,1,0,25
2,4,0,2,25
3,4,0,0,25

Summary
Total Comparisons,190
Duplicates (≥85%),5
Similar (70-85%),7

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q3,How can a dashed red line be specified in a matplotlib plot format string?,1,3,q4,How can a red dashed line be specified in a matplotlib plot command?,2,4,0.943,duplicate
q1,What is the main purpose of the matplotlib package in Python?,1,1,q1,What is the main purpose of the matplotlib package in Python?,3,1,0.892,duplicate
q1,What is the main purpose of the matplotlib package in Python?,1,1,q1,What is the main use of the matplotlib package?,2,1,0.86,duplicate
q4,"To add a legend at the lower right corner of a figure, which parameter is used in plt.legend()?",1,4,q3,Which of the following code adds a legend at the lower right corner of a plot?,2,3,0.86,duplicate
q1,What is the main use of the matplotlib package?,2,1,q1,What is the main purpose of the matplotlib package in Python?,3,1,0.858,duplicate
q2,Which pyplot function creates a new figure for plotting?,1,2,q2,Which function creates a new figure in matplotlib?,2,2,0.827,similar
q2,Which pyplot function creates a new figure for plotting?,1,2,q2,Which function is necessary to display a figure in a Python script or terminal?,4,2,0.814,similar
q4,"To add a legend at the lower right corner of a figure, which parameter is used in plt.legend()?",1,4,q4,Which parameter controls the location of the legend in a matplotlib plot?,3,4,0.785,similar
q5,The plt.grid() function by default adds grid lines to which axes?,1,5,q5,"To add vertical grid lines only, which code is correct?",4,5,0.762,similar
q3,Which of the following code adds a legend at the lower right corner of a plot?,2,3,q4,"How does <zyICode>plt.legend(loc=""lower right"")</zyICode> affect a plot?",4,4,0.739,similar
q2,Which function creates a new figure in matplotlib?,2,2,q2,Which function is necessary to display a figure in a Python script or terminal?,4,2,0.726,similar
q5,The plt.grid() function by default adds grid lines to which axes?,1,5,q5,The plt.grid() function is used to _____.,2,5,0.716,similar
