text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the print() function output by default at the end of its output?,A newline character,A space character,A tab character,A newline character,No additional character,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can a program read a user-entered value into a variable named user_input?,user_input = input(),user_input = print(),user_input = input(),input = user_input(),input(user_input),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which statement converts a string ""25"" into an integer and assigns it to variable num?","num = int(""25"")",num = str(25),"num = int(""25"")",num = float(25),"num = ""25""",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
How can multiple values be printed on the same line with spaces automatically added between them?,"print(""Hello"", ""World"")","print(""Hello"" + ""World"")","print(""Hello"", ""World"")","print(""Hello""""World"")","print(""Hello"" ""World"")",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass
"To keep the next print output on the same line separated by a space, what syntax is used?","print(""text"", end="" "")","print(""text"", join="" "")","print(""text"", end="" "")","print(""text"", stay=True)","print(""text"", space=True)",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
"What is the purpose of the newline character ""\n"" in a string?",To move output to the next line,To add a space,To insert a tab,To move output to the next line,To comment out a line,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the print() function output by default at the end of its output?,A newline character,A tab character,No extra character,A space character,A newline character,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which Python code correctly prints the string Hello on one line and World on the next line?,"print(""Hello\nWorld"")","print(""Hello World"")","print(""Hello\nWorld"")","print(""Hello\\nWorld"")","print(""Hello World\n"")",,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"How does using print(""Hello"", end="" "") affect subsequent print outputs?",It keeps the next output on the same line separated by a space,It adds a newline after Hello,It keeps the next output on the same line separated by a space,It prints Hello twice,It causes an error in Python,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which statement correctly reads a user input string into the variable user_name?,user_name = input,user_name = input,input = user_name(),user_name = input(),input(user_name),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
