text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
"Which role focuses on extracting, transforming, and loading data for later analysis?",Data engineer,Data analyst,Machine learning engineer,Data engineer,Business intelligence analyst,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"By 2030, data science job demand is expected to _____ in most industries.",increase,decrease,remain the same,increase,fluctuate unpredictably,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which data science professional specializes in implementing machine learning models in software?,Machine learning engineer,Data scientist,Data engineer,Data analyst,Machine learning engineer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which role focuses on extracting, transforming, and loading data for analysis?",Data engineer,Data analyst,Data scientist,Data engineer,Machine learning engineer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Data scientists differ from data analysts because they also _____.,extract and transform raw data,implement machine learning models,extract and transform raw data,focus only on data visualization,specialize in financial data,,,,,,,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
Why hire a machine learning engineer instead of a data scientist?,To implement models into software,To summarize and visualize data,To transform large datasets,To implement models into software,To create weekly reports and plots,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is the primary role of a data engineer in data science projects?,"Extract, transform, and load datasets for analysis",Visualize data trends for business teams,"Extract, transform, and load datasets for analysis",Build and interpret machine learning models,Summarize datasets using statistical methods,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why would a company hire a machine learning engineer instead of a data analyst?,To develop and implement machine learning models in software,To create weekly reports and visualizations,To develop and implement machine learning models in software,To extract and reformat raw data for analysis,To summarize data using basic statistics,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"By 2030, the demand for data scientists across industries is expected to:",Increase in most industries,Decrease in most industries,Remain the same as in 2020,Increase in most industries,Vary randomly without a clear trend,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"Which role specializes in extracting, transforming, and loading data for analysis?",Data engineer,Data scientist,Data analyst,Data engineer,Machine learning engineer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"By 2030, data science jobs are projected to _____ across most industries.",increase,decrease,remain the same,increase,fluctuate unpredictably,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A company wanting to implement a machine learning model on their website should hire a/an _____.,machine learning engineer,data analyst,data scientist,data engineer,machine learning engineer,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
