text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What is the main benefit of declaring a variable as a constant?,It improves code readability and prevents accidental changes.,It allows the variable to be changed anywhere in the code.,It improves code readability and prevents accidental changes.,It uses less memory than a regular variable.,It enables the variable to store multiple values.,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which keyword declares a constant variable in Java?,final,const,constant,final,static,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If a constant variable named MAX_SPEED is declared, what is the best naming practice?",max_speed,maxSpeed,Max_speed,MAX_SPEED,max_speed,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
Why use constant variables instead of literal numbers in code?,To improve code readability and prevent accidental changes,To reduce the number of variables declared,To allow variables to change during execution,To improve code readability and prevent accidental changes,To speed up program execution,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
A constant variable is declared using the keyword _____ in Java.,final,static,const,final,immutable,,,,,,,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens if a program tries to assign a new value to a constant variable?,The compiler reports an error,The program changes the value successfully,The compiler reports an error,The value changes only during runtime,The value changes only if it is an integer type,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should programmers use constant variables instead of literal numbers in code?,To improve code readability and prevent accidental changes,To increase program execution speed,To improve code readability and prevent accidental changes,To reduce the number of variables needed,To allow the values to be changed during runtime,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which keyword in Java declares a variable whose value cannot be changed after initialization?,final,static,const,final,immutable,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens if a program tries to assign a new value to a constant variable?,The compiler reports an error,The program ignores the assignment,The compiler reports an error,The variable value changes during runtime,The program recompiles the constant automatically,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why should programmers use constant variables instead of literal numbers in code?,To improve code readability and prevent unintentional changes,To reduce program execution time,To allow changing values throughout the program,To improve code readability and prevent unintentional changes,To enable variables to store different data types,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Which keyword declares a constant variable in Java?,final,const,static,final,immutable,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What happens if a program tries to assign a new value to a constant variable?,The compiler reports an error,The variable changes only once,The compiler reports an error,The program converts the variable to a normal variable,The value changes without warnings,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
