text,answer,a,b,c,d,e,f,g,h,hint,feedback
What does the equal sign (=) do in Python programming?,Assigns a value to a variable,Compares two values,Creates a new function,Assigns a value to a variable,Declares a data type,,,,,,
Why is Python 3.0 not backward compatible with Python 2.7?,It introduced major syntax changes,It uses a different programming language,It introduced major syntax changes,Python 3.0 is a paid version,Python 2.7 has fewer libraries,,,,,,
What is the main advantage of using functions in Python for data science?,Functions perform computations consistently,Functions increase code length,Functions perform computations consistently,Functions remove the need for variables,Functions automatically visualize data,,,,,,
"In Jupyter notebooks, what is a cell?",A segment of code or output,A segment of code or output,A separate file for code storage,A type of Python function,A programming language supported by Jupyter,,,,,,
Why is Python popular for data science?,It is open source and widely supported,It uses less memory than other languages,It has consistent syntax across all libraries,It is open source and widely supported,It runs faster than Julia,,,,,,
A variable in Python is best defined as _____.,a named item used to store a value,a function that performs calculations,a named item used to store a value,a line of code that prints output,a parameter to a function,,,,,,
What is the role of the Python interpreter?,Translating Python code into machine language,Running code only in Jupyter notebooks,Translating Python code into machine language,Creating variables and functions automatically,Comparing two values with logical operators,,,,,,
"In a Jupyter notebook, a small segment of code or output is called a _____.",cell,block,cell,chunk,module,,,,,,
Why is Python popular for data science?,It has many available libraries and readability,It requires less memory than other languages,It executes code faster than Julia,It has many available libraries and readability,It is only usable for data science,,,,,,
Python 3.0 is not backward compatible with Python 2.7 because _____.,Python 3.0 introduced major syntax changes,Python 2.7 is faster than Python 3.0,Python 3.0 introduced major syntax changes,Python 2.7 supports more libraries,Python 3.0 uses less memory,,,,,,
"In Python, a variable is created by using _____.",The assignment operator (=),The colon (:) symbol,The double equal sign (==),The assignment operator (=),The plus sign (+),,,,,,
"In Jupyter notebooks, small segments of code or output are called _____.",cells,chunks,blocks,cells,slides,,,,,,
Why is Python popular for data science?,It has many available learning resources.,It uses less memory than other languages.,Its syntax is inconsistent across libraries.,It has many available learning resources.,It runs computations faster than Julia.,,,,,,
"In Python, an expression is a line of code that _____.",returns a specific value when evaluated,assigns a value to a variable,returns a specific value when evaluated,defines a function parameter,contains multiple instructions,,,,,,
What is a parameter in a Python function?,A named input to the function,The function's output value,A value provided to the function,A named input to the function,A command that performs computations,,,,,,
"In Jupyter notebooks, what does the Run button do?",Executes code only in the active cell,Executes all code cells in the notebook,Executes code only in the active cell,Restarts the kernel and runs all cells,Saves the notebook to a local directory,,,,,,
