text,answer,a,b,c,d,e,f,g,h,hint,feedback
What is the main purpose of the matplotlib package in Python?,To create static and dynamic plots,To perform statistical modeling,To compute correlation coefficients,To create static and dynamic plots,To process large datasets,,,,,,
Which pyplot function creates a new figure for plotting?,plt.figure(),plt.show(),plt.plot(),plt.figure(),plt.savefig(),,,,,,
How can a dashed red line be specified in a matplotlib plot format string?,"""r--""","""r:""","""r--""","""rd""","""r-.""",,,,,,
"To add a legend at the lower right corner of a figure, which parameter is used in plt.legend()?","loc=""lower right""","loc=""top right""","position=""lower right""","loc=""lower right""","place=""bottom right""",,,,,,
The plt.grid() function by default adds grid lines to which axes?,Both x- and y- axes,Only x-axis,Only y-axis,Both x- and y- axes,Neither axis,,,,,,
What is the main use of the matplotlib package?,"To create static, dynamic, and interactive plots",To train machine learning models,"To create static, dynamic, and interactive plots",To perform statistical analysis on data,To compute correlation coefficients,,,,,,
Which function creates a new figure in matplotlib?,plt.figure(),plt.show(),plt.plot(),plt.figure(),plt.legend(),,,,,,
Which of the following code adds a legend at the lower right corner of a plot?,"plt.legend(loc=""lower right"")","plt.legend(loc=""lower right"")","plt.legend(position=""lower right"")","plt.legend(""lower right"")","plt.legend(location=""bottom right"")",,,,,,
How can a red dashed line be specified in a matplotlib plot command?,"""r--""","""r-.""","""r--""","""r:""","""r:d""",,,,,,
The plt.grid() function is used to _____.,add grid lines to plots,add axis labels,add grid lines to plots,save a plot as an image,create multiple subplots,,,,,,
What is the main purpose of the matplotlib package in Python?,To create and customize data visualizations,To create and customize data visualizations,To perform statistical data analysis,To preprocess data for machine learning,To compute correlation coefficients,,,,,,
Which matplotlib pyplot function is used to display a scatter plot of x and y data?,"plt.scatter(x, y)","plt.scatter(x, y)","plt.line(x, y)","plt.plotScatter(x, y)","plt.showScatter(x, y)",,,,,,
When should plt.figure() be explicitly called in matplotlib code?,When changing the default figure size,When changing the default figure size,When creating a line plot,When displaying the figure in Jupyter Notebooks,When saving the figure to a file,,,,,,
Which parameter controls the location of the legend in a matplotlib plot?,loc,loc,position,location,place,,,,,,
"In matplotlib, how does plt.subplot(nrows, ncols, index) affect a figure?",It creates a grid of subplots with specified layout and selects one subplot,It creates a grid of subplots with specified layout and selects one subplot,It changes the figure size to nrows by ncols inches,It adds a legend to a specific subplot,It sets the color and style of the current plot,,,,,,
"What does the <zyICode>plt.scatter(x, y)</zyICode> function create?",A scatter plot of x and y coordinates,A line plot connecting points,A histogram of data,A scatter plot of x and y coordinates,A bar chart of categories,,,,,,
Which function is necessary to display a figure in a Python script or terminal?,plt.show(),plt.figure(),plt.show(),plt.plot(),plt.savefig(),,,,,,
Which parameter changes the size of a figure in <zyICode>matplotlib</zyICode>?,figsize in plt.figure(),figsize in plt.figure(),fontsize in plt.title(),loc in plt.legend(),linestyle in plt.grid(),,,,,,
"How does <zyICode>plt.legend(loc=""lower right"")</zyICode> affect a plot?",Moves the legend to the lower right corner,Moves the legend to the lower right corner,Changes the legend text color to lower right,Adds a legend only if located at lower right,Removes the legend from the figure,,,,,,
"To add vertical grid lines only, which code is correct?","plt.grid(axis=""x"")","plt.grid(axis=""y"")","plt.grid(axis=""x"")","plt.grid(axis=""both"")","plt.grid(axis=""z"")",,,,,,
