text,answer,a,b,c,d,e,f,g,h,hint,feedback,implausible_distractors,none_of_the_above,all_of_the_above,fill_in_the_blank,true_or_false,absolute_terms,longest_answer_correct,negative_worded_stem,word_repeats_in_stem_and_correct_answer,avoid_logical_cues,lost_sequence,more_than_one_correct,complex_k_type,ambiguous_unclear_information,gratuitous_information_in_stem,avoid_convergence_cues,grammatical_cues_in_stem,vague_terms,unfocused_stem
What does the base case prove in a mathematical induction proof?,The statement is true for the first value in the sequence,The statement is true for all integers,The statement is true for the first value in the sequence,The statement is true for an arbitrary integer,The statement implies the next value in the sequence,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the inductive step, what is assumed to prove the statement for \(k+1\)?",The statement is true for \(k\),The statement is false for \(k\),The statement is true for \(k\),The statement is true for \(k+2\),The statement is true for all values less than \(k\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
The inductive hypothesis in the statement “\(S(k)\) implies \(S(k+1)\)” is:,\(S(k)\),\(S(k+1)\),\(S(k)\),\(S(n)\),\(S(1)\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"If a theorem claims \(P(n)\) is true for all positive integers \(n\), what is typically the base case?",\(n = 1\),\(n = 0\),\(n = 1\),\(n = 2\),\(n = k + 1\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the principle of mathematical induction guarantee if the base case and inductive step hold?,The statement holds for all positive integers \(n\),The statement holds for some integer \(n\),The statement holds only for \(n = 1\),The statement holds for all positive integers \(n\),"The statement holds for all integers, positive or negative",,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In an inductive proof of a summation formula, what is the purpose of expressing \(P(k+1)\)?",To show the formula holds for the next integer after \(k\),To verify the formula for a specific value of \(k\),To use it as the base case,To show the formula holds for the next integer after \(k\),To disprove the hypothesis,,,,,,,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Why might the base case start at a value \(c\) other than 1 in some induction proofs?,Because the theorem only applies from \(n = c\) onwards,Because the theorem only applies from \(n = c\) onwards,Because \(n=1\) is always false,Because \(c\) is a variable,Because the inductive step requires \(c=0\),,,,,,,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What does the base case prove in a proof by mathematical induction?,The statement is true for the first positive integer,The statement is true for all integers,The statement is true for the first positive integer,The statement is true for the inductive hypothesis,The statement is true for the next integer,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
"In the inductive step, what must be shown to prove the theorem?","If the statement is true for \(k\), then it is true for \(k+1\)","If the statement is true for \(k\), then it is true for \(k+1\)",The statement is true for the base case,The statement is true for all integers less than \(k\),The statement is false for some integer \(k\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
What is called the inductive hypothesis in an inductive proof?,The assumption that the statement is true for \(k\),The assumption that the statement is true for \(k\),The conclusion that the statement is true for \(k+1\),The base case \(n=1\),The proof that the statement is true for all \(n\),,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
