=== SIMILARITY ANALYSIS ===

Within-Run Analysis
Run Number,Question Count,Internal Duplicates,Internal Similar
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0

Cross-Run Analysis
Run A,Run B,Duplicates,Similar,Total Comparisons
1,2,0,1,9
1,3,0,3,9
1,4,1,2,9
2,3,1,0,9
2,4,1,1,9
3,4,1,2,9

Summary
Total Comparisons,66
Duplicates (≥85%),4
Similar (70-85%),9

Pairwise Comparisons
Question A ID,Question A Text,Question A Run,Question A Number,Question B ID,Question B Text,Question B Run,Question B Number,Similarity Score,Category
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.939,duplicate
q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.939,duplicate
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.909,duplicate
q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.899,duplicate
q2,A compiler warning indicates _____.,1,2,q3,What does a compiler warning indicate?,4,3,0.833,similar
q2,A compiler warning indicates _____.,1,2,q3,A compiler warning means _____ .,2,3,0.805,similar
q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,0.778,similar
q3,A compiler warning means _____ .,2,3,q3,What does a compiler warning indicate?,4,3,0.747,similar
q1,What should a programmer do after fixing the first compiler error message?,1,1,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.732,similar
q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.73,similar
q1,What should a programmer do after fixing the first compiler error message?,1,1,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.724,similar
q2,A compiler warning indicates _____.,1,2,q3,What is the purpose of compiler warnings?,3,3,0.711,similar
q3,What is the purpose of compiler warnings?,3,3,q3,What does a compiler warning indicate?,4,3,0.704,similar
q1,What should a programmer do after fixing the first compiler error message?,1,1,q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,0.698,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,0.674,low
q3,A compiler warning means _____ .,2,3,q3,What is the purpose of compiler warnings?,3,3,0.629,low
q2,A compiler warning indicates _____.,1,2,q2,What is the main difference between a syntax error and a logic error?,2,2,0.587,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.577,low
q3,What is the purpose of compiler warnings?,3,3,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.566,low
q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.564,low
q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,0.561,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q3,What is the purpose of compiler warnings?,3,3,0.552,low
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,0.54,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.54,low
q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,q3,What is the purpose of compiler warnings?,3,3,0.537,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q3,What is the purpose of compiler warnings?,3,3,0.534,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q2,A compiler warning indicates _____.,1,2,0.529,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q3,What does a compiler warning indicate?,4,3,0.527,low
q2,A compiler warning indicates _____.,1,2,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.521,low
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q2,What is the main difference between a syntax error and a logic error?,2,2,0.52,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q3,What does a compiler warning indicate?,4,3,0.518,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,0.511,low
q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.502,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.502,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q3,A compiler warning means _____ .,2,3,0.5,low
q2,What is the main difference between a syntax error and a logic error?,2,2,q3,A compiler warning means _____ .,2,3,0.499,low
q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.498,low
q2,A compiler warning indicates _____.,1,2,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.495,low
q3,A compiler warning means _____ .,2,3,q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,0.494,low
q1,What should a programmer do after fixing the first compiler error message?,1,1,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.49,low
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q3,What is the purpose of compiler warnings?,3,3,0.488,low
q2,A compiler warning indicates _____.,1,2,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.484,low
q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,0.481,low
q3,A compiler warning means _____ .,2,3,q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,0.472,low
q2,A compiler warning indicates _____.,1,2,q2,"When a compiler reports an error on line 10, where should a programmer look if no error is found on that line?",3,2,0.469,low
q2,A compiler warning indicates _____.,1,2,q3,"When a compiler reports an error on line 10, the actual error is usually on line _____.",1,3,0.466,low
q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,q3,What does a compiler warning indicate?,4,3,0.466,low
q1,Why should a programmer focus on fixing the first compiler error before others?,2,1,q3,A compiler warning means _____ .,2,3,0.464,low
q2,Why should a programmer focus on fixing the first compiler error before others?,4,2,q3,What does a compiler warning indicate?,4,3,0.464,low
q1,Why should a programmer focus on fixing the first compiler error message first?,3,1,q1,"When a compiler reports an error on line 10, the actual syntax error is usually on line _____.",4,1,0.463,low
