text,answer,a,b,c,d,e,f,g,h,hint,feedback
\nSelect the proposition that is a tautology.,$(p \wedge q) \to p$,$(p \wedge q) \to \neg p$,$(p \vee q) \to p$,$(p \wedge q) \leftrightarrow p$,$(p \wedge q) \to p$,,,,,,
\nSelect the proposition that is a contradiction.,$\neg (p \vee q) \wedge p$,$\neg (p \vee q) \wedge p$,$(p \vee q) \wedge p$,$(\neg p \wedge q) \leftrightarrow p$,$(\neg p \wedge \neg q) \to p$,,,,,,
\nSelect the proposition that is logically equivalent to\n$\neg p \to q$\n.,$p \vee q$,$p \wedge \neg q$,$p \vee q$,$\neg p \vee q$,$\neg p \wedge q$,,,,,,
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""It is not true that the employee received a large bonus and has a big office.""",The employee did not receive a big bonus or does not have a big office.,The employee received a big bonus or has a big office.,The employee did not receive a big bonus and does not have a big office.,The employee did not receive a big bonus or does not have a big office.,The employee received a big bonus and has a big office.,,,,,,
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""It is not true that the patient has high blood pressure or influenza.""",The patient does not have high blood pressure and does not have influenza.,The patient has high blood pressure or has influenza.,The patient does not have high blood pressure and does not have influenza.,The patient does not have high blood pressure or does not have influenza.,The patient has high blood pressure and has influenza.,,,,,,
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""The employee did not receive a big bonus and does not have a big office.""",It's not true that the employee has a big office or received a large bonus.,The employee did not receive a big bonus or the employee does not have a big  office.,It's not true that the employee has a big office and received a large bonus.,It's not true that the employee has a big office or received a large bonus.,"If the employee received a large bonus, then the employee also has a big office.",,,,,,
"\nUse De Morgan’s law to select the statement that is equivalent to:\n""The patient does not have high blood pressure or the patient does not have influenza.""",It is not true that the patient has high blood pressure and influenza.,It is not true that the patient has high blood pressure and influenza.,It is not true that the patient has high blood pressure or influenza.,The patient does not have high blood pressure and the patient does not have influenza.,The patient has high blood pressure but not  influenza.,,,,,,
\nSelect the proposition that is neither a tautology or a contradiction.,$(p \vee q) \rightarrow q$,$(p \wedge q) \rightarrow q$,$(p \vee q) \rightarrow q$,$q \rightarrow (p \vee q)$,$(p \wedge \neg p) \rightarrow q$,,,,,,
\nSelect the proposition that is neither a tautology or a contradiction.,$(\neg p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \leftrightarrow \neg q) \vee (p \leftrightarrow q)$,$(\neg p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \leftrightarrow \neg q) \wedge (p \leftrightarrow q)$,$(p \rightarrow q) \vee  (q \rightarrow p)$,,,,,,
\nSelect the proposition that is logically equivalent to\n$p \leftrightarrow q$\n.,$(p \wedge q) \vee (\neg p \wedge \neg q)$,$(p \vee q) \wedge (\neg p \vee \neg q)$,$(p \wedge q) \vee (\neg p \wedge \neg q)$,$(p \rightarrow q) \vee (q \rightarrow p)$,$(\neg p \rightarrow q) \wedge  (\neg q \rightarrow p)$,,,,,,
\nSelect the proposition that is logically equivalent to\n$p \wedge \neg q$\n.,$\neg(p \rightarrow q)$,$\neg(q \rightarrow p)$,$\neg(p \rightarrow q)$,$\neg(\neg p \rightarrow q)$,$\neg(q \rightarrow \neg p)$,,,,,,
